folder,loc
.\code_for_parsing\201206030--novel-plus,4396
.\code_for_parsing\2227324689--gpmall,4742
.\code_for_parsing\2dxgujun--AndroidTagGroup,224
.\code_for_parsing\500px--500px-android-blur,20
.\code_for_parsing\abel533--Mapper,9893
.\code_for_parsing\ac-pm--Inspeckage,418
.\code_for_parsing\Activiti--Activiti,64463
.\code_for_parsing\addthis--stream-lib,2847
.\code_for_parsing\AdoptOpenJDK--jitwatch,2270
.\code_for_parsing\AigeStudio--WheelPicker,904
.\code_for_parsing\airbnb--airpal,68
.\code_for_parsing\airbnb--DeepLinkDispatch,634
.\code_for_parsing\airbnb--lottie-android,2709
.\code_for_parsing\airbnb--native-navigation,524
.\code_for_parsing\alexvasilkov--GestureViews,2204
.\code_for_parsing\alibaba--Alink,46949
.\code_for_parsing\alibaba--ARouter,1461
.\code_for_parsing\alibaba--arthas,11578
.\code_for_parsing\alibaba--atlas,132607
.\code_for_parsing\alibaba--cobar,20546
.\code_for_parsing\alibaba--COLA,1810
.\code_for_parsing\alibaba--DataX,5181
.\code_for_parsing\alibaba--druid,74258
.\code_for_parsing\alibaba--easyexcel,9184
.\code_for_parsing\alibaba--fastjson,13372
.\code_for_parsing\alibaba--freeline,754
.\code_for_parsing\alibaba--jetcache,2037
.\code_for_parsing\alibaba--jstorm,47744
.\code_for_parsing\alibaba--jvm-sandbox,5705
.\code_for_parsing\alibaba--otter,26395
.\code_for_parsing\alibaba--QLExpress,1477
.\code_for_parsing\alibaba--spring-cloud-alibaba,10752
.\code_for_parsing\alibaba--Tangram-Android,6685
.\code_for_parsing\alibaba--TProfiler,1421
.\code_for_parsing\alibaba--UltraViewPager,665
.\code_for_parsing\alibaba--vlayout,3735
.\code_for_parsing\alibaba--yugong,1185
.\code_for_parsing\Alluxio--alluxio,98428
.\code_for_parsing\AlmasB--FXGL,10635
.\code_for_parsing\AltBeacon--android-beacon-library,4160
.\code_for_parsing\amirzaidi--Launcher3,13392
.\code_for_parsing\amitshekhariitbhu--Android-Debug-Database,532
.\code_for_parsing\amitshekhariitbhu--awesome-android-complete-reference,16
.\code_for_parsing\amitshekhariitbhu--Fast-Android-Networking,2822
.\code_for_parsing\amitshekhariitbhu--RxJava2-Android-Samples,418
.\code_for_parsing\amlcurran--ShowcaseView,762
.\code_for_parsing\amulyakhare--TextDrawable,36
.\code_for_parsing\andkulikov--Transitions-Everywhere,3866
.\code_for_parsing\andpor--react-native-sqlite-storage,268
.\code_for_parsing\andremion--Music-Player,270
.\code_for_parsing\android--location-samples,650
.\code_for_parsing\android--user-interface-samples,2186
.\code_for_parsing\android--views-widgets-samples,1968
.\code_for_parsing\android-cjj--JJSearchViewAnim,87
.\code_for_parsing\android-hacker--VirtualXposed,4975
.\code_for_parsing\android-notes--Cockroach,96
.\code_for_parsing\android10--Android-CleanArchitecture,1714
.\code_for_parsing\androidannotations--androidannotations,21771
.\code_for_parsing\Angel-ML--angel,43884
.\code_for_parsing\anggrayudi--android-hidden-api,349
.\code_for_parsing\angryip--ipscan,3905
.\code_for_parsing\AntennaPod--AntennaPod,5586
.\code_for_parsing\antlr--antlr4,19656
.\code_for_parsing\Anuken--Mindustry,5491
.\code_for_parsing\AnyListen--tools-ocr,158
.\code_for_parsing\aosp-mirror--platform_frameworks_base,1041776
.\code_for_parsing\apache--beam,172914
.\code_for_parsing\apache--calcite,127645
.\code_for_parsing\apache--camel,820138
.\code_for_parsing\apache--cassandra,118918
.\code_for_parsing\apache--commons-lang,59796
.\code_for_parsing\apache--curator,23696
.\code_for_parsing\apache--dolphinscheduler,39213
.\code_for_parsing\apache--druid,152113
.\code_for_parsing\apache--dubbo,66617
.\code_for_parsing\apache--dubbo-spring-boot-project,1933
.\code_for_parsing\apache--flink,428522
.\code_for_parsing\apache--flume,27159
.\code_for_parsing\apache--hadoop,555425
.\code_for_parsing\apache--hive,309559
.\code_for_parsing\apache--hudi,53193
.\code_for_parsing\apache--ignite,640313
.\code_for_parsing\apache--incubator-heron,31477
.\code_for_parsing\apache--incubator-linkis,25172
.\code_for_parsing\apache--incubator-shenyu,51607
.\code_for_parsing\apache--jmeter,68021
.\code_for_parsing\apache--kafka,123056
.\code_for_parsing\apache--nifi,204188
.\code_for_parsing\apache--nutch,21562
.\code_for_parsing\apache--pinot,94195
.\code_for_parsing\apache--pulsar,95278
.\code_for_parsing\apache--rocketmq,21667
.\code_for_parsing\apache--rocketmq-externals,10056
.\code_for_parsing\apache--shardingsphere,101038
