Method_Name,Method_Type
getResources,accessor
getInteger,accessor
getColor,accessor
initializeRenderScript,others
obtainStyledAttributes,others
setBlurRadius,others
getInt,accessor
setDownsampleFactor,others
setOverlayColor,others
recycle,others
onDraw,others
prepare,others
getBackground,accessor
eraseColor,others
draw,others
blur,others
save,others
translate,others
getX,accessor
getY,accessor
scale,others
drawBitmap,others
restore,others
drawColor,others
setRadius,others
create,builder
U8_4,others
getWidth,accessor
getHeight,accessor
createBitmap,builder
createFromBitmap,builder
createTyped,builder
getType,accessor
copyFrom,others
setInput,others
forEach,others
copyTo,others
onDetachedFromWindow,others
destroy,others
onCreate,builder
setContentView,others
findViewById,others
setBlurredView,others
nextInt,others
setImageDrawable,others
invalidate,others
ofFloat,others
nextFloat,others
addUpdateListener,accessor
playTogether,accessor
setDuration,others
setInterpolator,others
addListener,accessor
start,others
setLayerType,others
