Method_Name,Method_Type
execSQL,others
makeText,builder
onCreate,others
setContentView,others
getInstance,accessor
getApplicationContext,accessor
getTags,accessor
findViewById,others
setVisibility,accessor
setOnClickListener,accessor
launchTagEditorActivity,others
setTags,others
setOnTagClickListener,accessor
onResume,others
getMenuInflater,accessor
getItemId,accessor
startActivity,others
updateTags,others
finish,accessor
submitTag,others
onBackPressed,others
rgb,others
argb,others
dp2px,others
sp2px,others
obtainStyledAttributes,others
getBoolean,accessor
getText,accessor
getColor,accessor
getDimension,accessor
recycle,others
appendInputTag,others
getInputTag,accessor
isInputAvailable,accessor
endInput,others
onAppend,others
getMode,accessor
getSize,accessor
measureChildren,others
getChildCount,accessor
getChildAt,accessor
getMeasuredWidth,accessor
getMeasuredHeight,accessor
getVisibility,accessor
max,others
getPaddingTop,accessor
getPaddingBottom,accessor
getPaddingLeft,accessor
getPaddingRight,accessor
setMeasuredDimension,others
layout,others
onSaveInstanceState,others
getCheckedTagIndex,accessor
onRestoreInstanceState,others
getSuperState,accessor
getTagAt,accessor
setChecked,others
add,others
toArray,others
size,others
removeAllViews,others
appendTag,others
getContext,accessor
addView,others
applyDimension,others
getResources,accessor
removeView,others
onDelete,others
readInt,others
readStringArray,others
readString,others
writeToParcel,others
writeInt,others
writeStringArray,others
writeString,others
getCheckedTag,accessor
deleteTag,others
onTagClick,others
setStyle,others
setStrokeWidth,others
setColor,others
setPadding,others
setLayoutParams,others
setGravity,others
setText,others
setTextSize,others
setClickable,others
setFocusable,others
setFocusableInTouchMode,others
setHint,others
setMovementMethod,others
setOnLongClickListener,accessor
requestFocus,others
setOnEditorActionListener,accessor
getKeyCode,accessor
getAction,accessor
setOnKeyListener,accessor
isEmpty,accessor
getLastNormalTagView,accessor
addTextChangedListener,accessor
invalidatePaint,others
getHeight,accessor
requestLayout,others
setPathEffect,others
setHintTextColor,others
setTextColor,others
drawArc,others
drawRect,others
save,others
rotate,others
centerX,others
centerY,others
drawLine,others
restore,others
drawPath,others
onDraw,others
onSizeChanged,others
set,others
reset,others
addArc,others
moveTo,others
lineTo,others
onTouchEvent,others
getDrawingRect,accessor
invalidate,others
contains,others
getX,accessor
getY,accessor
onCreateInputConnection,builder
sendKeyEvent,others
deleteSurroundingText,others
getReadableDatabase,accessor
query,others
moveToNext,others
getString,accessor
getColumnIndex,accessor
close,others
clearTags,others
addTag,others
getWritableDatabase,accessor
put,others
toString,accessor
insert,others
delete,others
