Method_Name,Method_Type
compile,others
getPathForModule,accessor
add,others
getPathForRelativePath,accessor
build,builder
shouldUseVerbosityFlagIfAvailable,others
getStdOut,accessor
toFile,builder
addModule,others
isSuccess,assertion
setModulesPaths,accessor
setOutputPath,accessor
getModulesPaths,accessor
isPresent,assertion
setBundleConfig,accessor
get,accessor
execute,others
contains,others
addFile,others
resolve,others
format,accessor
getModuleName,accessor
getPath,accessor
addModuleFiles,others
sealApk,others
logError,others
getArchivePath,accessor
getFile1,accessor
getFile2,accessor
setDebugMode,accessor
getDexFile,accessor
getDexFileName,accessor
getResourceApk,accessor
isBaseModule,assertion
packageFile,others
processFileForResource,accessor
getNativeLibraryDirectories,accessor
addNativeLibraries,others
getAssetDirectories,accessor
keySet,accessor
addSourceFolder,others
isEmpty,assertion
getZipFiles,accessor
exists,assertion
isFile,assertion
getJarFilesThatMayContainResources,accessor
isDirectory,assertion
listFiles,assertion
getName,accessor
checkFolderForPackaging,accessor
equals,others
toString,builder
checkFileForPackaging,accessor
endsWith,others
toPath,builder
addFileToBuilder,builder
matches,others
entries,others
hasMoreElements,others
nextElement,others
isEntryPackageable,assertion
resolveFileInModule,others
convertZipEntryToFile,others
isDirectoryEntryPackageable,assertion
isFileEntryPackageable,assertion
isValidMetaInfEntry,assertion
startsWith,others
createTempFile,builder
deleteOnExit,others
getInputStream,accessor
copy,others
builder,builder
join,others
on,others
getVerbosity,accessor
setOverwriteOutput,accessor
matcher,others
getGenPathForBaseName,accessor
resolvePath,others
getSourcePathResolver,accessor
getRootPath,accessor
getCommandPrefix,accessor
getRelativePath,accessor
of,others
addAll,others
getSourcePath,accessor
getBuildable,accessor
buildDepsSupplier,builder
fromCellRelativePath,others
getBuildCellRootPath,accessor
getProjectFilesystem,accessor
getParent,accessor
getResourceApkPath,accessor
prepareManifestForAapt,accessor
getFinalManifestPath,accessor
getAbsolutePath,accessor
collect,others
map,others
stream,others
toList,builder
getArgsPath,accessor
recordArtifact,others
getProguardConfigPath,accessor
getRDotTxtPath,accessor
getInitialRDotJavaDir,accessor
getGenDir,accessor
getBuildTarget,accessor
copyOf,others
transform,accessor
getParameters,accessor
writeContentsToPath,others
forEach,accessor
reverse,others
createProjectWorkspaceForScenario,accessor
setUp,accessor
assumeSdkIsAvailable,assertion
assumeBundleBuildIsSupported,builder
runBuckdCommand,others
verifyAapt2RuleInvocation,others
getBuildLog,accessor
resetBuildLogFile,accessor
replaceFileContents,others
getClass,accessor
getLogEntry,accessor
assertThat,assertion
getStatus,accessor
is,assertion
equalTo,others
getSuccessType,accessor
naturalOrder,others
toBuildRulesFor,accessor
iterator,others
ifPresent,others
getRule,accessor
memoize,others
getAllDeps,accessor
getScratchPath,accessor
getPathToRDotTxtDir,accessor
getAndroidManifestXml,accessor
getPathToGeneratedProguardConfigFile,accessor
getRelativeResDirectories,accessor
toImmutableList,builder
getSourcePathToOutput,accessor
getPathToRDotTxtFile,accessor
getPlaceholders,accessor
forFile,accessor
getGenPath,accessor
filterBuildRuleInputs,builder
getResourceFilterRule,accessor
getProjectFileSystem,accessor
assertSuccess,assertion
runBuckBuild,builder
withFlavors,others
dosToJavaTime,others
getNextEntry,accessor
getTime,accessor
newInstance,others
set,accessor
fromInt,others
hashCode,others
from,others
setRes,accessor
createBuilder,builder
requireRule,others
createPathSourcePath,builder
empty,others
calculateRuleKey,others
assertKeyChanged,assertion
createIdentifyResourcesProvider,builder
getRes,accessor
assertNotEquals,assertion
create,builder
setAssets,accessor
setRDotJavaPackage,accessor
equalsIgnoreCase,others
endsWithIgnoreCase,others
getAaptExecutable,accessor
dedupKeepLast,others
getMinSdkVersion,accessor
getTargetSdkVersion,accessor
getVersionCode,accessor
orElse,others
getDebugMode,accessor
hasAny,others
hasNext,others
getFileName,accessor
getVersionName,accessor
next,others
getAndroidJar,accessor
toAbsolutePath,builder
buildAaptStep,builder
emptyList,assertion
newBuilder,builder
createTestExecutionContext,builder
getShellCommandInternal,accessor
assertTrue,assertion
assertFalse,assertion
pathWithPlatformSeparators,accessor
setVersionName,accessor
setTargetSdkVersion,accessor
assertEquals,assertion
indexOf,others
setConsole,accessor
setVersionCode,accessor
setMinSdkVersion,accessor
buildAndReturnOutput,builder
readAllBytes,others
containsString,others
addBuckConfigLocalOption,others
assumeThat,others
setSections,accessor
visit,assertion
shouldIncludeInnerClass,others
visitInnerClass,assertion
checkState,others
shouldInclude,others
visitField,assertion
substring,others
length,others
visitMethod,assertion
isInterface,assertion
isAnnotation,assertion
isEnum,assertion
getDescriptor,accessor
getObjectType,accessor
getMethodType,accessor
visitNestMember,assertion
visitEnd,assertion
requireNonNull,others
createMock,builder
testExcludesFieldWithAccess,others
testIncludesFieldWithAccess,others
testExcludesMethodWithAccess,others
testIncludesMethodWithAccess,others
visitClass,assertion
replay,others
verify,others
testFieldWithAccess,others
andReturn,others
expect,others
testMethodWithAccess,others
getOutputName,accessor
none,others
getCellNameResolver,accessor
setup,accessor
addToIndex,others
coerceAndStringify,others
getSourcePathToSupplementaryOutput,accessor
createJavaOnlyFilesystem,builder
expectMessage,others
allOf,others
coerceBoth,others
convert,others
stringify,others
typeCoercerForType,accessor
getCellRelativeBasePath,accessor
createCellRoots,builder
isAssignableFrom,assertion
getOutputClass,accessor
traverse,others
size,others
normalize,others
toRealPath,builder
relativize,others
getRoot,accessor
comparing,others
isAbsolute,assertion
getOwner,accessor
registerActionAnalysisDataForAction,accessor
getOutputs,accessor
getArtifact,accessor
getInputs,accessor
toImmutableSet,accessor
asBound,others
filter,others
toImmutableSortedSet,accessor
natural,others
entrySet,accessor
toImmutableSortedMap,builder
getKey,accessor
computeIfAbsent,others
getValue,accessor
immediateFuture,others
getUnflavoredBuildTarget,accessor
requireBound,others
requireDeclared,others
isBound,assertion
getOwnerTyped,accessor
compareClasses,others
compare,others
compareTo,others
compareDeclared,others
asDeclared,others
getTarget,accessor
containsKey,others
getTargetConfigurationFromMetadata,accessor
isNullOrEmpty,assertion
deserialize,others
configure,others
apply,others
getCacheResults,accessor
multiContainsImpl,others
verbose,others
setResult,accessor
reschedule,others
getMessage,accessor
values,others
error,others
multiFetchStarted,others
getRequest,accessor
getRuleKey,accessor
multiFetchImpl,others
anyMatch,others
getResults,accessor
getType,accessor
getCacheResult,accessor
skipped,others
finished,assertion
failed,others
incrementAndGet,accessor
info,others
fetchStarted,others
fetchImpl,others
getOutput,accessor
getCheckRequests,accessor
getFetchRequest,accessor
skipPendingRequest,others
getMode,accessor
cancelRequest,others
skipAllPendingRequests,others
doFetch,others
put,others
doMultiCheck,others
cancelAllPendingRequests,others
getMultiFetchBatchSize,accessor
doMultiFetch,others
setException,accessor
addFetchRequest,others
poll,others
drainTo,others
submit,others
isMultiCheckEnabled,assertion
addCheckRequest,others
isWritable,assertion
getCacheReadMode,accessor
getFileSize,accessor
artifactExceedsMaximumSize,others
getPathForArtifact,accessor
storeScheduled,others
started,others
storeImpl,others
getRuleKeys,accessor
builderWithExpectedSize,builder
getSecond,accessor
getFirst,accessor
deleteImpl,others
canBorrow,others
copyFile,others
fetchAsync,others
ofInstance,others
run,others
isDone,assertion
assertIterablesEquals,assertion
runOnce,others
skipPendingAndFutureAsyncFetches,others
rangeClosed,others
hit,others
miss,assertion
skip,others
min,others
setCacheResults,accessor
setCacheResult,accessor
mapToObj,others
sendBatch,others
logMultiple,others
log,others
getUploadedBatches,accessor
hasSize,others
forceFlush,accessor
getNodesWithNoIncomingEdges,accessor
getOutgoingNodesFor,accessor
addNode,others
addEdge,others
subList,assertion
remove,others
onComplete,others
start,others
createNode,builder
getDeps,accessor
parseInt,others
getEventKey,accessor
getEventName,accessor
getValueString,accessor
isRelatedTo,assertion
hash,others
getSimpleName,accessor
flatMap,others
getSelection,accessor
getBuckTargetLocator,accessor
findBuckFileForVirtualFile,accessor
isDefault,assertion
getProject,accessor
getBuckCellManager,accessor
findCellByVirtualFile,others
findCellByName,others
findTargetPatternForVirtualFile,accessor
findRelativePath,others
isDebug,assertion
setIcon,accessor
setText,accessor
truncateName,others
setEnabledAndVisible,accessor
getVirtualFile,accessor
getQualifiedName,accessor
createTestConfigurationFromContext,builder
getInstance,accessor
showWarningBalloon,others
getConfigurationFactories,accessor
createRunConfiguration,builder
getConfiguration,accessor
addConfiguration,others
addParameters,others
command,others
runInCurrentThreadPostEnd,others
getAndSet,accessor
setSelectedConfiguration,accessor
getDebugExecutorInstance,accessor
getRegisteredExecutors,accessor
executeConfiguration,others
getContainingFile,accessor
createProjectFilesystem,builder
mkdirs,others
createNewFile,builder
key,others
rootCell,others
getPackageRoots,accessor
expectCause,others
instanceOf,others
createSymLink,builder
anyOf,others
assumeFalse,others
isWindows,assertion
assumeTrue,others
isBuildFileCaseSensitive,builder
assumeNamesAreCaseInsensitive,others
