Method_Name,Method_Type
clone,others
forName,accessor
isMimeTypeEqual,assertion
getRepresentationClass,accessor
equalsIgnoreCase,others
match,others
getBackgroundExecutor,accessor
onCreate,builder
getIntent,accessor
finish,assertion
getCharSequenceExtra,accessor
getBooleanExtra,accessor
setSubtitle,accessor
getSupportActionBar,accessor
toString,builder
inflate,others
setContentView,accessor
findViewById,others
setOnItemClickListener,accessor
getContext,accessor
getItem,accessor
submit,others
getInstance,accessor
applyAnswer,others
getTime,accessor
e,others
getHtml,accessor
getText,accessor
getSystemService,accessor
setPrimaryClip,accessor
newHtmlText,others
getString,accessor
show,others
putExtra,others
setResult,accessor
execute,others
setVisibility,accessor
getAnswersExternal,accessor
setAdapter,accessor
unexpectedError,others
getSupportFragmentManager,accessor
answer,others
from,others
getAdapter,accessor
makeText,builder
attachBaseContext,others
getLocalizedContext,accessor
log,others
getName,accessor
myPid,others
join,others
getExtras,accessor
registerFragmentLifecycleCallbacks,assertion
hasPermission,assertion
getDefaultSharedPreferences,accessor
getBoolean,accessor
addFlags,others
getWindow,accessor
equals,others
setTheme,accessor
getTheme,accessor
isDarkTheme,assertion
getDecorView,accessor
getSystemUiVisibility,accessor
setSystemUiVisibility,accessor
registerOnSharedPreferenceChangeListener,assertion
resolveColor,others
getDrawable,accessor
createBitmap,builder
getIntrinsicWidth,accessor
getIntrinsicHeight,accessor
setBounds,accessor
getWidth,accessor
getHeight,accessor
setTint,accessor
draw,others
alpha,others
w,others
toHexString,builder
setAlphaComponent,accessor
setTaskDescription,accessor
setNavigationBarColor,accessor
findFragmentByTag,others
commitNowAllowingStateLoss,others
beginTransaction,others
checkAuthentication,others
onNewIntent,others
getSize,accessor
onSaveInstanceState,others
d,others
put,others
getFreeMemMb,accessor
breadcrumb,others
keySet,accessor
get,accessor
onResume,others
getClass,accessor
i,others
startActivity,others
onPause,others
shouldAuthenticate,others
finishAndRemoveTask,assertion
onConfigurationChanged,others
onStop,others
isInteractive,assertion
isEmpty,assertion
