Method_Name,Method_Type
anyOf,others
named,others
staticMethod,others
forClass,accessor
withNoParameters,others
onClass,others
constructor,others
matches,others
getTypeArguments,accessor
isEmpty,assertion
get,accessor
isBadType,assertion
describeMatch,others
matchType,others
getResultType,accessor
overridesMethodOfClass,others
of,others
build,builder
replace,others
getExpression,accessor
getName,accessor
checkNotNull,others
getSymbol,accessor
findSuperMethods,others
getTypes,accessor
contentEquals,others
addStaticImport,others
builder,builder
getQualifiedName,accessor
message,others
matcher,others
buildFix,builder
methodMatcher,others
visit,assertion
getMatchResult,accessor
extractSourceTree,others
extractSourceType,others
extractTargetType,accessor
create,builder
asSuper,others
size,others
empty,others
format,accessor
sourceTree,others
allOf,others
not,others
hasAnnotationOnAnyOverriddenMethod,others
enclosingClass,others
annotationReplacements,others
tryToReplaceAnnotation,others
correctAnnotation,others
getUnqualifiedClassName,accessor
getAnnotations,accessor
addImport,others
removeImport,others
toString,builder
makeProtectedPublic,builder
prefixWith,others
getModifiers,accessor
getSourceForNode,accessor
replaceFirst,others
hasAnnotation,others
findAnnotation,others
substring,others
lastIndexOf,others
equals,others
getSymbolFromString,accessor
getSimpleName,accessor
hasModifier,others
getLockExpressions,accessor
parseLockExpressions,others
isPresent,assertion
buildDescription,builder
getUnwanted,accessor
intersection,others
buildMessage,builder
formatLockString,accessor
getActual,accessor
difference,others
toSortedList,builder
from,others
toStringFunction,builder
naturalOrder,others
join,others
bindString,others
allOn,others
add,others
setMessage,accessor
transform,accessor
on,others
getKind,accessor
getPath,accessor
getLeaf,accessor
getParentPath,accessor
orElseGet,accessor
provideFix,others
map,others
extract,others
ofNullable,others
getType,accessor
getArguments,accessor
isSameType,assertion
getSymtab,accessor
extractType,others
isField,assertion
collect,others
toList,builder
or,others
extractFirstArg,others
toType,builder
namedAnyOf,others
extractClassArg,others
withNameMatching,others
compile,others
orElse,others
flatMap,others
argFromClass,others
checkMockedType,others
reverse,others
closure,others
asElement,others
getAnnotation,accessor
getAnnotationMirrors,accessor
complete,others
forbidReason,accessor
unmockableClass,others
reason,others
erasure,others
getOnlyElement,accessor
emptyToNull,others
apply,others
memoize,others
getAnnotationType,accessor
symbolHasAnnotation,others
getCanonicalName,accessor
instanceMethod,others
findingPerMethod,others
scan,others
getCurrentPath,accessor
matchNewClassOrMethodInvocation,others
verify,others
visitMethodInvocation,assertion
getBody,accessor
flush,others
isInStaticInitializer,assertion
checkClosed,others
expectedExceptionTest,others
mockitoInvocation,others
enclosingMethod,others
emptyFix,others
getTypeFromString,accessor
isSubtype,assertion
asType,others
getReturnType,accessor
isClosedInFinallyClause,assertion
variableInitializationCountsAsClosing,others
addFix,others
isStatic,assertion
contains,others
anyMatch,others
stream,others
isConsideredFinal,assertion
indexOf,others
getStatements,accessor
getFinallyBlock,accessor
accept,others
getReceiver,accessor
wrapTryFinallyAroundVariableScope,others
findEnclosing,others
introduceSingleStatementTry,others
extractToResourceInCurrentTry,others
splitVariableDeclarationAroundTry,others
ifPresent,others
chooseFixType,others
suggestName,others
delete,others
qualifyType,others
getStartPosition,accessor
getInitializer,accessor
getEndPosition,accessor
to,builder
put,others
entrySet,accessor
getKey,accessor
getValue,accessor
postfixWith,others
repeat,others
merge,others
clear,others
onDescendantOf,others
getTrueExpression,accessor
getFalseExpression,accessor
asMap,others
withPath,others
enclClass,others
getIdentifier,accessor
visitNullLiteral,assertion
updateRegularStore,others
visitTypeCast,assertion
values,others
noStoreChanges,others
visitNumericalAddition,assertion
visitNumericalOperation,assertion
visitNarrowingConversion,assertion
visitEqualTo,assertion
updateStore,others
getThenStore,accessor
getElseStore,accessor
conditionalResult,others
visitNotEqual,assertion
visitAssignment,assertion
visitLocalVariable,assertion
getRegularStore,accessor
visitFieldAccess,assertion
tryGetMethodSymbol,accessor
getTree,accessor
visitObjectCreation,assertion
visitShortLiteral,assertion
visitValueLiteral,assertion
visitIntegerLiteral,assertion
visitLongLiteral,assertion
visitFloatLiteral,assertion
visitDoubleLiteral,assertion
visitBooleanLiteral,assertion
visitCharacterLiteral,assertion
visitStringLiteral,assertion
visitNumericalMinus,assertion
visitNumericalPlus,assertion
visitBitwiseComplement,assertion
visitBitwiseOperation,assertion
visitNullChk,assertion
visitStringConcatenate,assertion
visitNumericalSubtraction,assertion
visitNumericalMultiplication,assertion
visitIntegerDivision,assertion
visitFloatingDivision,assertion
visitIntegerRemainder,assertion
visitFloatingRemainder,assertion
visitLeftShift,assertion
visitSignedRightShift,assertion
visitUnsignedRightShift,assertion
visitBitwiseAnd,assertion
visitBitwiseOr,assertion
visitBitwiseXor,assertion
visitStringConcatenateAssignment,assertion
visitLessThan,assertion
visitNumericalComparison,assertion
visitLessThanOrEqual,assertion
visitGreaterThan,assertion
visitGreaterThanOrEqual,assertion
visitTernaryExpression,assertion
leastUpperBound,others
getThenOperand,accessor
valueOfSubNode,others
getElseOperand,accessor
visitVariableDeclaration,assertion
visitMethodAccess,assertion
visitArrayAccess,assertion
visitImplicitThis,assertion
visitThis,assertion
visitExplicitThis,assertion
visitSuper,assertion
visitReturn,assertion
visitLambdaResultExpression,assertion
visitStringConversion,assertion
visitWideningConversion,assertion
visitInstanceOf,assertion
visitSynchronized,assertion
visitAssertionError,assertion
visitThrow,assertion
visitCase,assertion
visitMemberReference,assertion
visitArrayCreation,assertion
visitArrayType,assertion
visitPrimitiveType,assertion
visitClassName,assertion
visitPackageName,assertion
visitParameterizedType,assertion
visitMarker,assertion
visitClassDeclaration,assertion
fromLocalVariable,others
fromVariableDecl,others
fromFieldAccess,others
toBuilder,builder
setInformation,accessor
withParameters,others
onExactClass,others
constValue,others
matchRegexLiteral,others
staticEqualsInvocation,others
instanceEqualsInvocation,others
matchArgument,others
getLeftOperand,accessor
getRightOperand,accessor
addFixes,others
inOrStatementWithEqualsCheck,others
getNullness,accessor
isAndroidCompatible,assertion
stripParentheses,others
treesMatch,others
sameVariable,others
getNullnessAnalysis,accessor
parentNode,others
kindIs,assertion
isVoidType,assertion
specializedMatcher,others
allowInExceptionThrowers,others
getMode,accessor
isThrowingFunctionalInterface,assertion
describeReturnValueIgnored,others
checkLostType,others
lostType,others
isExemptedInterfaceType,assertion
functionalInterfaceReturnsExactlyVoid,others
findDescriptorType,others
getRootAssignable,accessor
getMethodSelect,accessor
isAssignable,assertion
getMessage,accessor
isLastStatementInBlock,assertion
previousStatement,others
expressionStatement,others
enclosingNode,others
nextStatement,others
methodCallInDeclarationOfThrowingRunnable,others
findEnclosingNode,others
hasTag,others
isRaw,assertion
getUpperBound,accessor
getTypeParameters,accessor
remove,others
getBounds,accessor
getResolvedGenerics,accessor
getSubst,accessor
toMultimap,builder
arrayListValues,assertion
getDeclaredField,accessor
getClass,accessor
setAccessible,accessor
addAll,others
functionalInterfaceReturnsObject,others
isExemptedInterfaceMethod,assertion
lostTypeMessage,others
isObjectReturningLambdaExpression,assertion
zip,others
linkedHashKeys,others
anyClass,others
isArray,assertion
handleStringifiedTree,others
isInVarargsPosition,assertion
getVariable,accessor
type,others
typePredicate,others
allowableToStringKind,others
reportMatch,others
maybeFix,others
getFix,accessor
implicitToStringFix,others
toStringFix,builder
descriptionMessageForDefaultMatch,accessor
getParameters,accessor
typeFromString,others
getLast,accessor
subSequence,others
skipParens,others
getCondition,accessor
isValidCaseBlock,assertion
getThenStatement,accessor
getExpressionForCase,accessor
instance,others
Block,others
getElseStatement,accessor
absent,others
append,others
getBlockContents,accessor
canCompleteNormally,others
asSet,accessor
getSourceCode,accessor
preRegister,assertion
initModules,others
nil,others
createInliner,builder
assertUnifies,assertion
assertInlines,assertion
assertWithMessage,assertion
first,others
unify,others
parseExpression,others
isEqualTo,assertion
inline,others
lineSeparator,others
inlineStatements,others
newParser,others
putBinding,others
argThat,others
appendText,others
that,others
getDeclarationAndTypeAttributes,accessor
isFieldAccess,assertion
isAutoValueAccessor,assertion
getFieldName,accessor
getMethodName,accessor
elementFromTree,others
getElement,accessor
elementFromDeclaration,others
fromNodeIfTrackable,others
getTarget,accessor
elementFromUse,others
heap,others
getInformation,accessor
keySet,accessor
copyOf,others
assertThat,assertion
newStore,others
mock,others
valueOfAccessPath,others
getPreferredPosition,accessor
concat,others
joining,others
getJavadocableTrees,accessor
getTokens,accessor
comments,others
containsKey,others
pos,others
generateFix,others
getText,accessor
startsWith,others
find,others
getSourcePos,accessor
endsWith,others
length,others
charAt,others
shouldMatch,others
startPos,others
visitClass,assertion
isGeneratedConstructor,assertion
visitMethod,assertion
getClassBody,accessor
getMembers,accessor
visitVariable,assertion
getDocTreePath,accessor
distinct,assertion
newInstance,others
doTest,others
addInputLines,others
addOutputLines,others
addSourceLines,others
invoke,others
getMethod,accessor
getCause,accessor
filter,others
validate,others
onClassAny,others
findAny,others
getSymbols,accessor
groupingBy,others
methodReferenceDescriptor,others
toCollection,builder
isSuppressed,assertion
isPrivate,assertion
removeIf,others
isSubSignature,assertion
prettyMethodSignature,others
descriptor,others
forEachOrdered,accessor
membersClosure,others
isConstructor,assertion
params,others
partitioningBy,others
groupOrder,others
organizePartition,others
toImmutableSortedSet,accessor
comparing,others
natural,others
addGroups,others
organizeImports,others
asImportBlock,others
methodIsNamed,assertion
methodHasParameters,others
isSubtypeOf,assertion
variableType,others
notNull,others
findFirst,others
inject,others
onCreate,builder
println,others
onAttach,others
addSourceFile,others
deriveApiDiff,others
check,others
packageName,others
toSet,accessor
putAll,others
entries,others
memberIsAllowed,assertion
fromMembers,others
containsEntry,others
identifier,others
getBoolean,accessor
unsupportedClasses,others
unsupportedMembersByClass,others
setArgs,accessor
asSymbol,others
isVarArgs,assertion
findParameterWithSymbol,others
toOptional,builder
getArgument,accessor
writeFile,others
assertCompiles,assertion
annotationMatches,others
isTrue,assertion
visitAnnotation,assertion
getInitializers,accessor
stringLiteral,others
internalContainerOf,others
getPackageAnnotations,accessor
assertDone,assertion
nodeWithAnnotationMatches,others
isType,assertion
isExactType,assertion
fix,others
allowBreakingChanges,others
toImmutableMap,builder
name,others
toImmutableSet,accessor
handle,others
annotationTokens,others
findOrphanedJavadoc,others
kind,others
toImmutableList,builder
findLast,others
endPos,others
checkAnnotations,others
getDocCommentTree,accessor
removeJavadoc,others
getOffsetTokens,accessor
annotationPosition,others
allMatch,others
isOrderingIsCorrect,assertion
joinSource,others
annotationNames,others
min,others
max,others
expectUnchanged,others
assumeTrue,others
isAtLeast15,assertion
release,others
nCopies,others
signum,others
getClassDiffList,accessor
getDiffCase,accessor
getClassName,accessor
getMemberDiff,accessor
getMemberList,accessor
getMemberDescriptor,accessor
newBuilder,builder
addClassDiff,others
setEverythingDiff,accessor
setClassName,accessor
addMember,others
setMemberDescriptor,accessor
setMemberDiff,accessor
getEverythingDiff,accessor
setIdentifier,accessor
isClassUnsupported,assertion
classDescriptor,others
classOrEnclosingClassIsForbiddenByAnnotation,accessor
isMemberUnsupported,assertion
hasAnnotationForbiddingUse,accessor
fromProto,others
getDefaultInstance,accessor
emptySet,accessor
compileOutputToJarOrDie,others
newFolder,others
setClasspath,accessor
singleton,others
fromScanner,others
setSources,accessor
asList,assertion
diagnostics,others
hasSize,others
descending,others
getReplacements,accessor
checkArgument,others
endPosition,others
startPosition,others
replaceWith,others
skip,others
getLineNumber,accessor
readLine,others
trim,others
forEach,accessor
getOrDefault,accessor
node,others
equalTo,others
fromSource,others
isNull,assertion
assertThrows,assertion
thenReturn,others
when,others
any,others
getNewCodeSnippet,accessor
heuristicsBuilder,builder
formalParameters,accessor
createListFromVarSymbols,builder
createListFromExpressionTrees,builder
subList,assertion
isAssignableTo,assertion
actual,others
formal,accessor
state,others
invalidatePair,others
noneMatch,others
updatePair,others
distanceFunction,assertion
computeAssignments,others
heuristics,assertion
isAcceptableChange,assertion
tree,others
symbol,others
actualParameters,others
viablePairs,others
addHeuristic,assertion
setDistanceFunction,accessor
buildDefaultDistanceFunction,builder
visitNewClassOrMethodInvocation,assertion
createFromMethodInvocation,builder
createFromNewClass,builder
findChanges,others
describe,others
buildCommentArgumentsFix,builder
buildPermuteArgumentsFix,builder
isNullLiteral,assertion
isUnknownName,assertion
convertToLowerUnderscore,others
getNormalizedEditDistance,accessor
index,others
buildEqualityFunction,builder
valueOf,accessor
argument,others
isArrayType,assertion
equal,others
toCharArray,builder
withSignature,others
elemtype,others
isValidArrayFill,assertion
reportMismatch,assertion
boxedTypeOrType,others
prettyType,others
assumeFalse,others
isAtLeast12,assertion
hasArguments,others
rewriteArrayArgument,others
isPrimitive,assertion
checkState,others
hashCode,others
hash,others
argumentCount,others
getGuavaUtils,accessor
getComponentType,accessor
toArray,builder
isNestedArray,assertion
getStackTrace,accessor
buildDistanceFunction,builder
constant,others
isEnumIdentifier,assertion
totalAssignmentCost,builder
totalOriginalCost,builder
assertionWithCondition,assertion
booleanLiteral,others
isDescendantOf,assertion
enclosingTry,others
catchesType,others
getParameter,accessor
firstNonNull,others
getBlock,accessor
getCatches,accessor
getAlternativeTypes,accessor
isUnion,assertion
assertTrue,assertion
getResources,accessor
next,others
iterator,others
hasInjectAnnotation,others
annotations,others
multiMatchResult,others
matchingNodes,others
methodIsConstructor,assertion
partitionParametersByType,others
buildErrorMessage,builder
value,others
parameters,others
appendTo,others
unboxedTypeOrType,others
getElementValues,accessor
requireNonNull,others
getDeclaredSymbol,accessor
getOffsetTokensForNode,accessor
isInstance,assertion
findPathFromEnclosingNodeToTopLevel,others
cast,others
getReceiverType,accessor
getQualifierExpression,accessor
endOfData,others
members,others
getSymbolsByName,accessor
flags,others
overrides,others
isInterface,assertion
findSuperMethodInType,others
test,others
scope,others
matchingMethods,others
isFinal,assertion
isAnonymous,assertion
hasAttribute,others
isInherited,assertion
getSuperclass,accessor
getSymbolFromName,accessor
attribute,others
binaryNameFromClassname,others
getRawAttributes,accessor
directAnnotationsAmong,others
flatName,others
hasDirectAnnotationWithSimpleName,others
push,accessor
getEnclosedElements,accessor
packge,others
getCompilationUnit,accessor
getTag,accessor
isCastable,assertion
wildUpperBound,others
isCaptured,assertion
cvarUpperBound,others
hasJUnitAnnotation,others
hasTestNgAnnotation,others
hasSimpleName,others
getRawTypeAttributes,accessor
annotationTargetType,accessor
getFileNameFromUri,accessor
toUri,builder
is,assertion
getEntryName,accessor
toURL,builder
replaceFrom,others
resolveInternalMethod,others
getEnv,accessor
popDiagnosticHandler,others
getGeneratedBy,accessor
asStrings,others
unboxAndEnsureNumeric,others
isNumeric,assertion
canHaveTargetType,accessor
getIndex,accessor
unaryNumericPromotion,others
binaryNumericPromotion,others
visitLambdaExpression,assertion
typeIsBoolean,assertion
handleEqualityOperator,others
getEnclosingExpression,accessor
visitMethodInvocationOrNewClass,assertion
getParameterTypes,accessor
getConditionType,accessor
getThrownTypes,accessor
peek,accessor
scanResources,others
extractTypes,others
removeAll,others
pop,accessor
visitNewClass,assertion
getCloseMethod,accessor
getIsLocal,accessor
asFlagSet,accessor
getSourceFile,accessor
getScheme,accessor
openConnection,others
getDimensions,accessor
maximumSize,others
mapToInt,others
boxed,others
flatMapToInt,others
asVarargs,others
sum,others
immediateFuture,others
singletonList,assertion
getCurrentlyAnnotatedNode,accessor
getConstructors,accessor
assignmentCost,others
equalsMethodDeclaration,others
toStringMethodDeclaration,builder
hashCodeMethodDeclaration,others
addModifiers,others
returning,others
methodReturns,others
findAutoValueClasses,others
scanAndReportAutoValueReferences,others
visitMemberSelect,assertion
visitIdentifier,assertion
getMatchingMethod,accessor
verifyNotNull,others
methodHasVisibility,assertion
methodHasArity,others
getTypeOfSubtract,accessor
compare,others
compareTo,others
longValue,others
intValue,others
shortValue,others
lastModified,others
isTypeAnnotation,assertion
getQualifiedIdentifier,accessor
isAcceptableImport,assertion
tryCreate,builder
getTypeDecls,accessor
getEnclosingElement,accessor
getCheckState,accessor
moveTypeAnnotations,others
outermostClass,others
addOutput,others
addInput,others
isNonNullUsingDataflow,assertion
isTestOnlyTarget,accessor
errorProneOptions,others
readObject,others
writeObject,others
close,others
defaultReadObject,others
processArgs,others
getRemainingArgs,accessor
defaultToLatestSupportedLanguageLevel,others
setCompilePolicyToByFile,accessor
getTask,accessor
addTaskListener,assertion
getContext,accessor
checkCompilePolicy,others
setupMessageBundle,accessor
createAnalyzer,builder
getStandardFileManager,accessor
isSupportedOption,assertion
run,others
noneOf,others
getSourceVersions,accessor
getBundle,accessor
doRefactor,others
patchingOptions,others
createByScanningForPlugins,accessor
refactor,others
customRefactorer,others
applyOverrides,others
loadPlugins,others
namedCheckers,others
canonicalName,others
createWithCustomDescriptionListener,builder
applyChanges,others
getWriter,accessor
floatingPointArgument,others
createDescription,builder
doubleValue,others
replaceAll,others
asBigInteger,others
suggestReplacement,others
toBigIntegerExact,builder
expectErrorMessage,others
nextInt,others
toStringHelper,builder
newHashMap,others
getValueType,accessor
standardPutAll,others
unmodifiableMap,others
getRawType,accessor
testEquals,others
addEqualityGroup,others
isPrimitiveOrBoxedPrimitiveType,assertion
receiverOfInvocation,others
methodInvocation,others
classLiteral,others
isJUnitTestCode,assertion
toInstance,builder
bind,others
toProvider,builder
binder,others
annotatedWith,others
extractTypeArgAsMemberOfSupertype,others
open,others
operateOn,others
toByteArray,builder
read,others
getLogger,accessor
templateTypeVariables,others
expressionArgumentTypes,others
matchesStartingAnywhere,others
none,others
templateStatements,others
thenChoose,others
unifier,others
typecheck,others
expectedTypes,others
actualTypes,others
trueOrNull,others
prepend,others
matchesStartingAtBeginning,others
printStat,others
pretty,others
printStats,others
printStatement,others
trimTrailingFrom,others
printStatements,others
log,others
addImports,others
getInstance,accessor
whitespace,others
unconsumedStatements,others
getCharContent,accessor
handleArguments,others
areSingleArgumentsSelfDocumenting,others
containsSyntheticParameterName,others
forEachPair,accessor
checkParameter,others
isBooleanLiteral,assertion
removeFirst,others
closedOpen,others
hasParameterComment,others
getStyle,accessor
getTextFromComment,accessor
getFirst,accessor
toLowerCase,builder
boxedClass,others
shouldAutoboxFix,others
literalValue,others
literalFix,others
parseBoolean,others
maybeCast,others
doubleAndFloatStatus,others
shouldUseGuavaHashCode,others
lookup,others
targetType,accessor
withClasspath,others
unboxedType,others
getFixes,accessor
addOption,others
then,others
containsExactly,others
getImportsToAdd,accessor
startWith,others
suppressionPredicate,others
customSuppressionAnnotations,others
disjoint,assertion
linkUrl,others
defaultSeverity,others
allNames,others
supportsSuppressWarnings,others
disableable,assertion
isAbstract,assertion
altNames,others
summary,others
severity,others
createLinkUrl,builder
suppressionAnnotations,others
isSuppressWarnings,assertion
tags,others
linkType,others
link,others
unmodifiableSet,accessor
maybeFormat,accessor
formatSource,accessor
parsesAs,others
assertAbout,assertion
javaSource,others
fromBugCheckerClasses,others
forResource,accessor
forSourceLines,accessor
isAtLeast9,assertion
runTestOnPair,others
doCompile,others
applyDiff,others
closeCompiler,others
verifyMatch,others
testFileManager,others
parse,others
analyze,others
getDiagnostics,accessor
fail,others
