Method_Name,Method_Type
split,builder
lastIndexOf,others
substring,others
containsKey,others
put,others
entrySet,accessor
append,others
getKey,accessor
getValue,accessor
length,others
setLength,accessor
toString,builder
asList,assertion
size,others
get,accessor
startsWith,others
insert,others
keySet,accessor
isDefaultAce,assertion
removeNamedAceAndUpdateSet,accessor
contains,others
containsNamedAce,others
remove,others
recalculateMask,others
isNamedAce,assertion
equals,others
add,others
isExtendAcl,assertion
or,others
getFsAction,accessor
charAt,others
getLogger,accessor
getExponentialRetryPolicy,accessor
indexOf,others
getAccountName,accessor
getAuthType,accessor
getClientProvidedEncryptionKey,accessor
getBase64EncodedString,accessor
getSHA256Hash,accessor
trace,others
getPreferredSSLFactoryOption,accessor
initializeDefaultFactory,others
getProviderName,accessor
getMessage,accessor
initializeUserAgent,others
getAbfsPerfTracker,accessor
getAbfsCounters,accessor
build,builder
setNameFormat,accessor
listeningDecorator,assertion
newScheduledThreadPool,others
getNumLeaseThreads,accessor
getInstance,accessor
digest,others
getBytes,accessor
encodeToString,others
cleanupWithLogger,others
shutdown,others
addQuery,others
createDefaultHeaders,builder
createRequestUrl,builder
execute,others
createDefaultUriQueryBuilder,builder
getDirectoryQueryParameter,accessor
valueOf,accessor
isUpnUsed,assertion
appendSASTokenToQuery,others
addCustomerProvidedKeyHeaders,others
isEmpty,assertion
hasResult,others
getStatusCode,accessor
getResponseHeader,accessor
getResult,accessor
urlEncode,others
getFileSystem,accessor
now,others
renameIdempotencyCheckOp,others
checkArgument,others
isARetriedRequest,assertion
getPathStatus,accessor
isRecentlyModified,assertion
debug,others
getLeaseId,accessor
getPosition,accessor
getMode,accessor
getoffset,accessor
getLength,accessor
isAppendBlob,assertion
appendSuccessCheckOp,others
hardSetResult,accessor
parseLong,others
format,accessor
deleteIdempotencyCheckOp,others
getUrl,accessor
getRequestHeaders,accessor
setAcl,accessor
getAclStatus,accessor
isNullOrEmpty,assertion
getSASToken,accessor
setSASToken,accessor
replace,others
encode,others
getAccessToken,accessor
replaceAll,others
getProperty,accessor
appendIfNotEmpty,others
getUserAgentSuffix,accessor
getClusterName,accessor
getClusterType,accessor
getCustomUserAgentPrefix,accessor
schedule,others
submit,others
addCallback,others
setDaemon,accessor
getEncoder,accessor
getToken,accessor
trim,others
getDefaultFactory,accessor
randomUUID,others
isNotEmpty,assertion
currentTimeMillis,assertion
addAndGet,accessor
incrementAndGet,accessor
sleep,others
interrupt,others
max,others
min,others
isDebugEnabled,assertion
compareAndSet,accessor
getAndSet,accessor
analyzeMetricsAndUpdateSleepDuration,others
set,accessor
currentThread,others
getBytesSent,accessor
addBytesTransferred,others
getRequestProperty,accessor
getContentLengthIfKnown,accessor
suspendIfNecessary,others
incrementCounter,others
getConnection,accessor
excludeIncompatibleCredentialProviders,others
getBoolean,accessor
getDeclaredFields,accessor
setAccessible,accessor
isAnnotationPresent,assertion
validateInt,others
validateIntWithOutlier,others
validateLong,others
validateString,others
validateBase64String,others
validateBoolean,others
getTrilean,accessor
accountConf,others
getLong,accessor
getPassword,accessor
getPasswordString,accessor
getAccountSpecificClass,accessor
getAccountAgnosticEnum,accessor
getAccountAgnosticClass,accessor
asSubclass,others
getClass,accessor
getEnum,accessor
unset,accessor
setBoolean,accessor
getClassByName,accessor
newInstance,others
getStorageAccountKey,accessor
getRawConfiguration,accessor
getTokenProviderClass,accessor
getMandatoryPasswordString,accessor
getTrimmedPasswordString,accessor
appendSlashIfNeeded,others
getName,accessor
initialize,others
getCustomTokenFetchRetryCount,accessor
getAnnotation,accessor
ConfigurationKey,others
validate,others
MaxValue,others
DefaultValue,others
ThrowIfInvalid,others
MinValue,others
availableProcessors,others
getWriteMaxConcurrentRequestCount,accessor
isBlank,assertion
endsWith,others
OutlierValue,others
getRuntime,accessor
getConfiguration,accessor
assumeTrue,others
replaceFirst,others
setTestUrl,accessor
setFileSystemName,accessor
getTestUrl,accessor
getAuthority,accessor
setContext,accessor
tag,others
getHost,accessor
iostatisticsStore,assertion
withCounters,others
getStatName,accessor
createCounter,builder
withDurationTracking,others
getRegistry,accessor
lookupMetric,others
newCounter,others
getStatDescription,accessor
lookupCounter,others
incr,others
snapshot,others
counters,others
trackDuration,others
checkNotNull,others
bind,others
getCanonicalServiceName,accessor
getDelegationToken,accessor
getKind,accessor
setKind,accessor
renewDelegationToken,others
cancelDelegationToken,others
getScheme,accessor
isSecurityEnabled,assertion
getServiceName,accessor
create,builder
addToken,others
getService,accessor
addConfResource,others
generateUniqueTestPath,others
getVersion,accessor
isTraceEnabled,assertion
getHeaderField,accessor
getClientRequestId,accessor
getMaskedUrl,accessor
getMaskedEncodedUrl,accessor
encodedUrlStr,others
openConnection,others
setSSLSocketFactory,accessor
setConnectTimeout,accessor
setReadTimeout,accessor
setRequestMethod,accessor
setRequestProperty,accessor
setDoOutput,accessor
setFixedLengthStreamingMode,accessor
nanoTime,others
getOutputStream,accessor
write,others
elapsedTimeMs,others
getResponseCode,accessor
getResponseMessage,accessor
dumpHeadersToDebugLog,others
getHeaderFields,accessor
processStorageErrorResponse,others
getHeaderFieldLong,accessor
getInputStream,accessor
isNullInputStream,assertion
parseListFilesResponse,assertion
read,others
warn,others
getErrorStream,accessor
createJsonParser,builder
nextToken,others
hasCurrentToken,others
getCurrentToken,accessor
getCurrentName,accessor
getText,accessor
readValue,others
error,others
getReadBufferSize,accessor
getReadAheadQueueDepth,accessor
isTolerateOobAppends,assertion
getReadAheadRange,accessor
shouldReadBufferSizeAlways,others
isBufferedPreadDisabled,assertion
