Method_Name,Method_Type
immediateFuture,others
closeContext,others
toString,builder
add,others
toStringHelper,builder
addExact,others
format,accessor
build,builder
setCatalog,accessor
testSessionBuilder,builder
valueOf,accessor
of,others
parseTypeSignature,accessor
setDeterminism,accessor
notVersioned,others
createTestTransactionManager,builder
createTestMetadataManager,builder
registerBuiltInFunctions,assertion
addFunctionNamespace,others
setSupportedFunctionLanguages,accessor
createFunction,builder
createTestingCatalog,builder
registerCatalog,assertion
addProperties,others
getAnalyzeProperties,accessor
getConnector,accessor
inSetupTransaction,accessor
createTable,builder
from,others
toJson,builder
createView,builder
execute,others
singleStatement,others
transaction,others
analyze,others
readUncommitted,others
createAnalyzer,builder
createStatement,builder
assertFails,assertion
empty,others
fail,others
getCode,accessor
getMessage,accessor
isPresent,assertion
get,accessor
getNode,accessor
getLineNumber,accessor
getColumnNumber,accessor
matches,others
emptyList,assertion
createSystemTablesConnectorId,builder
createTestingConnector,builder
createInformationSchemaConnectorId,accessor
getSystemTables,accessor
getConnectorTransaction,accessor
stringProperty,others
integerProperty,others
setSchema,accessor
getFunctionAndTypeManager,accessor
jsonCodec,others
readOnly,others
setNullCallClause,accessor
builder,builder
getAnalyzePropertyManager,accessor
getLocation,accessor
getOffsets,accessor
getOffsetBase,accessor
checkArrayRange,others
mayHaveNull,others
getOffset,accessor
isNull,assertion
copyRegion,others
getRawElementBlock,accessor
createArrayBlockInternal,builder
verify,others
copyPositions,others
getPositionCount,accessor
checkValidRegion,others
getValueIsNull,accessor
getRegionSizeInBytes,accessor
getRegionLogicalSizeInBytes,accessor
getApproximateRegionLogicalSizeInBytes,accessor
checkValidPositions,others
getPositionsSizeInBytes,accessor
compactOffsets,accessor
compactArray,others
checkReadablePosition,others
getRegion,accessor
appendStructureInternal,others
writeByte,others
writeInt,others
writePositionTo,others
getEstimatedDataSizeForStats,accessor
apply,others
internalPositionInRange,others
appendNullToIsNullArray,assertion
appendNullToOffsetsArray,accessor
requireNonNull,others
checkArgument,others
runBenchmark,others
setUp,accessor
runOnce,others
addResults,others
getBenchmarkName,accessor
tearDown,others
finished,assertion
getAverageResultsValues,accessor
longValue,others
printf,others
getValue,accessor
formatDataSize,accessor
