Method_Name,Method_Type
next,others
back,others
syntaxError,others
append,others
toString,builder
nextTo,others
getValue,accessor
length,others
put,others
rowToJSONArray,others
toJSONObject,builder
opt,others
indexOf,others
charAt,others
toJSONArray,builder
rowToJSONObject,others
optJSONObject,others
names,others
rowToString,others
fail,others
assertEquals,assertion
getMessage,accessor
assertTrue,assertion
contains,others
println,others
assertNull,assertion
getJSONObject,accessor
compareActualVsExpectedJsonArrays,others
trim,others
forDigit,accessor
unescape,others
equals,others
more,others
toLowerCase,builder
equalsIgnoreCase,others
keySet,accessor
escape,others
dehexchar,others
getString,accessor
isEmpty,assertion
parse,others
defaultConfiguration,others
size,others
query,others
read,others
jsonProvider,others
has,others
compareActualVsExpectedJsonObjects,others
setMyEnum,accessor
setMyEnumField,accessor
getNames,accessor
accumulate,others
remove,others
of,others
putOnce,others
get,accessor
valueToString,others
startsWith,others
putOpt,others
wrap,others
getEnum,accessor
getMyEnum,accessor
optEnum,others
valueOf,accessor
compareTo,others
signum,others
negate,others
divide,others
multiply,others
doubleValue,others
getClass,accessor
floatValue,others
hashCode,others
intValue,others
longValue,others
getGenericValue,accessor
nextToken,others
optString,others
toUpperCase,builder
replaceAll,others
isWhitespace,assertion
nextClean,others
add,others
nextValue,others
addAll,others
isArray,assertion
iterator,others
wrongValueFormatException,accessor
parseDouble,others
parseFloat,others
stringToNumber,others
quote,others
getSimpleName,accessor
objectToBigDecimal,others
objectToBigInteger,others
parseInt,others
parseLong,others
clear,others
optBoolean,others
getBoolean,accessor
optDouble,others
optNumber,others
optFloat,others
optInt,others
isAssignableFrom,assertion
optLong,others
testValidity,others
set,accessor
ensureCapacity,others
queryFrom,others
optQuery,others
similar,others
isNumberSimilar,assertion
getBuffer,accessor
write,others
writeValue,others
indent,others
toList,builder
toMap,builder
getLength,accessor
assertFalse,assertion
singleton,others
putAll,others
getInt,accessor
asList,assertion
singletonMap,others
getDouble,accessor
getFloat,accessor
getJSONArray,accessor
getLong,accessor
isNull,assertion
join,others
isNaN,assertion
optJSONArray,others
split,builder
hasNext,others
close,others
containsKey,others
assertNotNull,assertion
optBigDecimal,others
optBigInteger,others
nextContent,others
skipPast,others
nextCDATA,others
nextMeta,others
stringToValue,others
noSpace,others
assertNotEquals,assertion
compile,others
entrySet,accessor
getKey,accessor
populateMap,others
getBundle,accessor
getContextClassLoader,accessor
getKeys,accessor
hasMoreElements,others
nextElement,others
isInfinite,assertion
endsWith,others
substring,others
toArray,builder
getFields,accessor
getName,accessor
booleanValue,others
numberIsFinite,assertion
toBigInteger,builder
isDecimalNotation,assertion
getClassLoader,accessor
getMethods,accessor
getDeclaredMethods,accessor
getModifiers,accessor
isPublic,assertion
isStatic,assertion
getParameterTypes,accessor
isBridge,assertion
getReturnType,accessor
isValidMethodName,assertion
getKeyNameFromMethod,accessor
invoke,others
getAnnotationDepth,accessor
getAnnotation,accessor
value,others
isLowerCase,assertion
isUpperCase,assertion
isAnnotationPresent,assertion
getDeclaringClass,accessor
getSuperclass,accessor
getInterfaces,accessor
getMethod,accessor
toHexString,builder
bitLength,others
getPackage,accessor
toJSONString,builder
numberToString,others
matches,others
name,others
getField,accessor
currentThread,others
matcher,others
setDefault,accessor
nanoTime,others
mock,others
thenReturn,others
when,others
getDoubleKey,accessor
getIntKey,accessor
getStringKey,accessor
getEscapeStringKey,accessor
isTrueKey,assertion
isFalseKey,assertion
getStringReaderKey,accessor
getDefault,accessor
doubleToString,others
compare,others
getBigDecimal,accessor
getBigInteger,accessor
increment,others
getInstance,accessor
setSomeInt,accessor
setSomeString,accessor
emptySet,accessor
emptyMap,others
emptyList,assertion
decode,others
replace,others
readByIndexToken,others
format,accessor
encode,others
getResourceAsStream,accessor
build,builder
toURIFragment,builder
builder,builder
object,others
key,others
endObject,others
array,others
endArray,others
singletonList,assertion
markSupported,others
decrementIndexes,others
mark,others
reset,accessor
incrementIndexes,others
end,others
nextString,others
getCanonicalName,accessor
checkValid,others
checkError,others
skipTo,others
push,accessor
pop,accessor
getNumber,accessor
propertyNames,others
getProperty,accessor
toProperties,builder
compareActualVsExpectedObjects,others
keys,others
codePointAt,others
charCount,others
codePointIterator,others
mustEscape,others
appendCodePoint,others
isISOControl,assertion
unescapeEntity,others
getcDataTagName,accessor
isConvertNilAttributeToNull,assertion
parseBoolean,others
getXsiTypeMap,accessor
isKeepStrings,assertion
convert,others
withcDataTagName,others
compareStringToJSONObject,others
compareReaderToJSONObject,others
compareFileToJSONObject,others
withKeepStrings,others
newFile,others
unmodifiableMap,others
clone,others
withConvertNilAttributeToNull,others
withXsiTypeMap,others
setLength,accessor
nextEntity,others
isLetterOrDigit,assertion
