Method_Name,Method_Type
immediateFuture,others
closeContext,others
toStringHelper,others
addExact,others
format,others
testSessionBuilder,builder
valueOf,others
of,others
parseTypeSignature,accessor
builder,builder
notVersioned,others
createTestTransactionManager,builder
createTestMetadataManager,builder
getFunctionAndTypeManager,accessor
setSupportedFunctionLanguages,accessor
createTestingCatalog,builder
registerCatalog,assertion
getAnalyzePropertyManager,accessor
getConnector,accessor
inSetupTransaction,accessor
createTable,builder
from,others
jsonCodec,others
createView,builder
transaction,others
analyze,others
createAnalyzer,builder
createStatement,builder
assertFails,assertion
empty,others
fail,others
getCode,accessor
getMessage,accessor
isPresent,assertion
get,accessor
getNode,accessor
getLineNumber,accessor
getColumnNumber,accessor
emptyList,assertion
createSystemTablesConnectorId,builder
createTestingConnector,builder
createInformationSchemaConnectorId,builder
getSystemTables,accessor
getConnectorTransaction,accessor
stringProperty,others
integerProperty,others
getOffsets,accessor
getOffsetBase,accessor
checkArrayRange,others
mayHaveNull,others
getOffset,accessor
isNull,assertion
getRawElementBlock,accessor
createArrayBlockInternal,builder
verify,others
getPositionCount,accessor
checkValidRegion,others
getValueIsNull,accessor
checkValidPositions,others
compactOffsets,accessor
compactArray,others
checkReadablePosition,others
appendStructureInternal,others
writeByte,others
writeInt,others
writePositionTo,others
getEstimatedDataSizeForStats,accessor
apply,others
internalPositionInRange,others
appendNullToIsNullArray,assertion
appendNullToOffsetsArray,accessor
requireNonNull,others
checkArgument,others
runBenchmark,others
setUp,accessor
runOnce,others
addResults,others
getBenchmarkName,accessor
tearDown,others
finished,assertion
getAverageResultsValues,accessor
printf,others
getValue,accessor
formatDataSize,others
formatCount,others
formatCountRate,others
formatDataRate,others
getCustomBenchmarkSuiteSupplierTypes,accessor
getSqlParserOptions,accessor
getParsingOptions,accessor
getExceptionClassifier,accessor
getAdditionalModules,accessor
initialize,others
throwIfUnchecked,others
getInstance,accessor
error,others
getDecodedBlock,accessor
getChildren,accessor
getClass,accessor
getEstimatedSerializedSizeInBytes,accessor
setupDecodedBlockAndMapPositions,accessor
ensureCapacity,others
getId,accessor
encodeNonNullsAsBits,others
encodeNullsAsBits,others
containsNull,others
returnArray,others
