Method_Name,Method_Type
d,others
getAction,accessor
equals,others
handleActionComment,others
getMessage,accessor
getNotificationCompatBuilderInstance,accessor
recreateBuilderWithBigPictureStyle,accessor
build,builder
from,others
getApplicationContext,accessor
notify,others
getResultsFromIntent,accessor
getCharSequence,accessor
getBigPictureStyleData,accessor
getChannelId,accessor
setSummaryText,accessor
bigPicture,others
getResources,accessor
getBigImage,accessor
getBigContentTitle,accessor
getSummaryText,accessor
getActivity,accessor
getString,accessor
setLabel,accessor
getPossiblePostResponses,accessor
setAction,accessor
getService,accessor
setHintLaunchesActivity,accessor
extend,others
setNotificationCompatBuilderInstance,accessor
setPriority,accessor
addAction,others
setColor,accessor
setLargeIcon,accessor
setContentText,accessor
setStyle,accessor
getContentTitle,accessor
getContentText,accessor
decodeResource,others
getColor,accessor
toString,builder
getPriority,accessor
getChannelLockscreenVisibility,accessor
setHintContentIntentLaunchesActivity,accessor
getParticipants,accessor
addPerson,others
setRemoteInputHistory,accessor
setBigContentTitle,accessor
addRemoteInput,others
setVisibility,accessor
setChoices,accessor
setCategory,accessor
setHintDisplayActionInline,accessor
setSubText,accessor
setContentIntent,accessor
setSmallIcon,accessor
setContentTitle,accessor
onCreate,builder
setContentView,accessor
getSystemService,accessor
cancel,others
toMillis,builder
handleActionDismiss,assertion
handleActionSnooze,others
recreateBuilderWithBigTextStyle,accessor
sleep,others
interrupt,others
getBigTextStyleData,accessor
bigText,others
currentThread,others
getBigText,accessor
getSpanStart,accessor
getStyle,accessor
isHardwareAccelerated,assertion
addCircle,others
save,others
translate,others
drawPath,others
restore,others
drawCircle,others
mock,others
assertEquals,assertion
getLeadingMargin,accessor
drawLeadingMargin,others
verifyZeroInteractions,others
setSpan,accessor
thenReturn,others
when,others
inOrder,others
verify,others
eq,others
any,others
never,others
setHasOptionsMenu,accessor
getStringArray,accessor
inflate,others
onViewCreated,builder
findViewById,others
changeText,accessor
setOutlineProvider,accessor
setOnClickListener,accessor
getClipToOutline,accessor
setClipToOutline,accessor
format,accessor
setText,accessor
invalidateOutline,others
min,others
getWidth,accessor
getHeight,accessor
setRoundRect,accessor
updateDrawState,others
obtainStyledAttributes,others
recycle,others
itemSelected,others
getText,accessor
getContext,accessor
updateTransformationMethod,accessor
getEmojiTextViewHelper,accessor
setFilters,accessor
getFilters,accessor
setAllCaps,accessor
getDefaultSharedPreferences,accessor
applyTheme,others
around,others
onActivity,others
getScenario,accessor
createFoldingFeature,builder
createWindowLayoutInfo,builder
singletonList,assertion
overrideWindowLayoutInfo,others
check,others
onView,others
withSubstring,accessor
matches,others
isDisplayed,assertion
outerRule,others
onPostCreate,builder
getInt,accessor
putInt,others
onSaveInstanceState,others
isChecked,assertion
newDocumentIntent,others
addFlags,others
startActivity,others
putExtra,others
incrementAndGet,accessor
setUp,accessor
assertNotNull,assertion
clickView,others
getRecentAppTasks,accessor
size,others
getInstrumentation,accessor
getAppTasks,accessor
getTargetContext,accessor
performClick,accessor
getStartedActivityIntent,accessor
