Method_Name,Method_Type
add,others
notifyAll,others
hello,others
println,others
newInstance,others
create,builder
toString,builder
charAt,others
supplyAsync,others
calculatePrice,others
delay,others
format,accessor
nextDouble,others
nanoTime,others
getPrice,accessor
get,accessor
backupA,others
backupB,others
color,others
getY,accessor
weight,others
getColor,accessor
asList,assertion
newFixedThreadPool,others
size,others
setDaemon,accessor
collect,others
stream,others
toList,builder
parallelStream,others
getName,accessor
newCachedThreadPool,others
submit,others
getRate,accessor
getMessage,accessor
printStackTrace,others
thenCombine,others
map,others
thenApply,others
execute,others
findPricesSequential,others
findPricesParallel,others
findPricesFuture,others
findPricesInUSD,others
findPricesInUSD2,others
findPricesInUSD3,others
toBinaryString,builder
equals,others
getPath,accessor
getChannel,accessor
allocate,others
read,others
flip,others
hasRemaining,others
print,others
clear,others
close,others
getResource,accessor
readLine,others
append,others
write,others
wrap,others
getBytes,accessor
asCharBuffer,others
rewind,others
getProperty,accessor
decode,others
put,others
forName,accessor
of,others
forEach,accessor
empty,others
sum,others
limit,others
count,others
flatMap,others
defaultCharset,accessor
split,builder
iterate,others
generate,others
distinct,assertion
lines,others
shutdown,others
currentThread,others
getUncaughtExceptionHandler,accessor
setUncaughtExceptionHandler,accessor
setSuccessor,accessor
handle,others
replaceAll,others
andThen,others
apply,others
handleWork,others
copy,others
transferTo,others
transferFrom,others
assertEquals,assertion
cast,others
getSuperclass,accessor
nextInt,others
substring,others
lastIndexOf,others
getResourceAsStream,accessor
getClass,accessor
loadClass,others
available,others
defineClass,others
isInstance,assertion
f,others
getInputStream,accessor
sleep,others
shutdownNow,others
accept,others
pop,accessor
doWork,others
countDown,others
await,others
getSimpleName,accessor
popService,others
start,others
useOldDate,others
useLocalDate,others
useTemporalAdjuster,accessor
useDateFormatter,accessor
getInstance,accessor
set,accessor
getYear,accessor
getMonth,accessor
getDayOfMonth,accessor
getDayOfWeek,accessor
lengthOfMonth,others
isLeapYear,assertion
getHour,accessor
getMinute,accessor
getSecond,accessor
atTime,others
atDate,others
toLocalDate,builder
toLocalTime,builder
ofEpochSecond,others
now,others
between,others
getSeconds,accessor
from,others
with,accessor
nextOrSame,others
lastDayOfMonth,others
nextWorkingDay,others
plus,others
ofPattern,others
toFormatter,accessor
appendText,others
parseCaseInsensitive,others
appendLiteral,others
parse,others
wait,others
getDeclaredFields,accessor
setAccessible,accessor
allocateMemory,others
list,assertion
compile,others
matches,others
sort,others
matcher,others
getShopName,accessor
getDiscountCode,accessor
hardChoice,others
sayHello,others
length,others
array,others
order,others
getRateWithDelay,accessor
processFileLimited,others
processFile,others
process,others
createProduct,builder
printClassName,others
createProductLambda,builder
test,others
truncate,others
basic,others
shortcut,others
filter,others
getCalories,accessor
skip,others
getWeight,accessor
finalize,others
gc,others
isAlive,assertion
isVegetarianFriendlyMenu,accessor
isHealthyMenu,assertion
isHealthyMenu2,assertion
findVegetarianDish,accessor
ifPresent,others
anyMatch,others
allMatch,others
noneMatch,others
findAny,others
computeSequentially,others
fork,accessor
compute,others
join,others
toArray,builder
invoke,others
rangeClosed,others
isEmpty,assertion
rep,others
readExact,others
readCovariant,others
f1,others
f2,others
f3,others
makeList,builder
writeExact,others
writeWithWildcard,accessor
addToEnd,others
position,others
methodType,others
findSpecial,others
lookup,others
thinking,others
groupDishesByType,assertion
groupDishesByCaloricLevel,assertion
groupDishedByTypeAndCaloricLevel,assertion
countDishesInGroups,assertion
mostCaloricDishesByType,assertion
mostCaloricDishesByTypeWithoutOprionals,accessor
sumCaloriesByType,others
caloricLevelsByType,others
groupingBy,others
counting,others
maxBy,others
comparingInt,others
collectingAndThen,others
summingInt,others
mapping,others
toSet,accessor
groupImperatively,others
groupFunctionally,others
getCurrency,accessor
getTime,accessor
swap,others
getDeclaredField,accessor
setInt,accessor
cancel,others
exit,others
isInterrupted,assertion
yield,others
interrupt,others
interrupted,others
cleanup,others
invokeExact,others
INDY_BootstrapMethod,others
findStatic,others
fromMethodDescriptorString,others
MT_BootstrapMethod,others
invokeWithArguments,accessor
MH_BootstrapMethod,others
dynamicInvoker,others
dontStop,others
stackLeakByThread,others
stackLeak,others
status,others
end,others
push,accessor
getTypeParameters,accessor
getAbsolutePath,accessor
canRead,others
canWrite,others
getParent,accessor
lastModified,others
isFile,assertion
isDirectory,assertion
usage,others
renameTo,others
fileData,others
exists,assertion
delete,others
mkdirs,others
readByte,others
useStringReader,others
readFormattedInput,accessor
currentTimeMillis,assertion
getPrintlnMH,accessor
bindTo,others
findVirtual,others
getObject,accessor
notify,others
newCondition,others
lock,others
unlock,others
signalAll,others
random,others
remove,others
testMethod,others
run,others
doLongTimeTask,others
uncaughtException,others
max,others
isPresent,assertion
getAsInt,accessor
orElse,others
isPerfectSquare,assertion
sqrt,others
mapToInt,others
boxed,others
registerObserver,assertion
notifyObservers,others
contains,others
inform,accessor
getValue,accessor
stringToInt,others
ofNullable,others
parseInt,others
getCarInsuranceName,accessor
findCheapestInsurance,others
nextBoolean,others
increment,others
value,others
awaitTermination,others
getTotalCount,accessor
sumEntrances,others
reduce,others
getAsLong,accessor
parallel,others
measurePerf,others
partitionByVegeterian,accessor
vegetarianDishesByType,accessor
mostCaloricPartitionedByVegetarian,accessor
partitioningBy,others
partitionPrimes,others
partitionPrimesWithCustomCollector,accessor
partitionPrimesWithInlineCollector,accessor
floor,others
takeWhile,others
subList,assertion
isPrime,assertion
addAll,others
unmodifiableSet,accessor
peek,accessor
getPipedWriter,accessor
comparing,others
getCity,accessor
getTrader,accessor
setCity,accessor
sorted,others
pushService,others
parseDouble,others
valueOf,accessor
setProperty,accessor
readDurationImperative,others
readDurationWithOptional,accessor
calculateTotalCalories,others
calculateTotalCaloriesWithMethodReference,accessor
calculateTotalCaloriesWithoutCollectors,accessor
calculateTotalCaloriesUsingSum,others
reducing,others
testGC,others
setName,accessor
testBlock,others
printA,others
printB,others
setFlag,accessor
connect,others
method1,others
method2,others
suspend,others
getI,accessor
resume,others
printString,others
setRunning,accessor
getPriority,accessor
setPriority,accessor
getState,accessor
schedule,others
signal,others
getThreadGroup,accessor
activeGroupCount,others
enumerate,others
activeCount,others
signalAll_A,others
writeObject,others
hashCode,others
readObject,others
serviceMethod,others
scheduleAtFixedRate,others
setDefaultUncaughtExceptionHandler,accessor
serviceMethod1,others
getQueueLength,accessor
waitMethod,others
notifyMethod,others
operateIinSub,others
hasQueuedThread,others
hasQueuedThreads,others
testEqual,others
intern,others
open,others
bind,others
configureBlocking,others
register,assertion
selectNow,others
selectedKeys,others
iterator,others
hasNext,others
next,others
isAcceptable,assertion
isConnectable,assertion
isReadable,assertion
isWritable,assertion
socket,others
awaitUntil,others
isHeldByCurrentThread,assertion
lockInterruptibly,others
tryLock,others
complete,others
getPriceAsync,accessor
doSomethingElse,others
printf,others
doSomething,others
somethingElse,others
consumer,others
newProxyInstance,others
getClassLoader,accessor
newSingleThreadExecutor,others
finishConnect,assertion
validate,others
getLowCaloricDishesNamesInJava7,accessor
getLowCaloricDishesNamesInJava8,accessor
compare,others
operateIinMain,others
howManyDishes,assertion
findMostCaloricDish,assertion
findMostCaloricDishUsingComparator,assertion
calculateAverageCalories,others
calculateMenuStatistics,assertion
getShortMenu,accessor
getShortMenuCommaSeparated,accessor
averagingInt,others
summarizingInt,others
joining,others
writeTo,others
processCustomer,others
getCustomerWithId,accessor
makeCustomerHappy,builder
getkey,accessor
take,others
getAbsoluteFile,accessor
headSet,accessor
serviveMethod,others
awaitA,others
awaitB,others
setValue,accessor
readMethod,others
subtract,others
writeMethod,others
butter,others
jam,others
getId,accessor
getStatus,accessor
identity,others
asFloatBuffer,others
asIntBuffer,others
asLongBuffer,others
asShortBuffer,others
asDoubleBuffer,others
rawArgs,others
unboundedArg,others
exact1,others
exact2,others
wildSubtype,others
wildSupertype,others
countWordsIteratively,others
countWords,others
toCharArray,builder
isWhitespace,assertion
getCounter,accessor
