Method_Name,Method_Type
setColor,accessor
setStyle,accessor
setAntiAlias,accessor
setStrokeWidth,accessor
requiresBitmap,others
createClipPath,builder
reset,accessor
set,accessor
init,others
obtainStyledAttributes,others
getFloat,accessor
getInteger,accessor
recycle,others
setClipPathCreator,accessor
tan,others
toRadians,builder
moveTo,others
getPaddingLeft,accessor
getPaddingRight,accessor
lineTo,others
getPaddingTop,accessor
getPaddingBottom,accessor
close,others
requiresShapeUpdate,others
onCreate,builder
setContentView,accessor
findViewById,others
setSupportActionBar,accessor
setDrawingCacheEnabled,accessor
setWillNotDraw,accessor
setXfermode,accessor
setLayerType,accessor
applyDimension,others
getDisplayMetrics,accessor
onLayout,others
isInEditMode,assertion
setDrawable,accessor
getDrawable,accessor
getContext,accessor
dispatchDraw,assertion
calculateLayout,others
getWidth,accessor
getHeight,accessor
drawBitmap,others
drawPath,others
addRect,others
setupClipLayout,accessor
createMask,builder
createBitmap,builder
setBounds,accessor
draw,others
getPaint,accessor
op,others
getElevation,accessor
setOutlineProvider,accessor
getOutlineProvider,accessor
printStackTrace,others
postInvalidate,others
getShadowConvexPath,accessor
setConvexPath,accessor
getSystem,accessor
