Method_Name,Method_Type
putExtra,others
getPackageName,accessor
getClassName,accessor
sendIntentExplicitly,others
asList,assertion
parse,others
executeBadgeByBroadcast,others
sendDefaultIntentExplicitly,others
valueOf,accessor
sendBroadcast,others
createContentValues,builder
myLooper,others
getMainLooper,accessor
getContentResolver,accessor
insertBadgeAsync,others
insertBadgeSync,others
startInsert,others
insert,others
getApplicationContext,accessor
put,others
resolveContentProvider,others
getPackageManager,accessor
onCreate,builder
getSystemService,accessor
onStart,others
getIntExtra,accessor
cancel,others
setSmallIcon,accessor
setContentTitle,accessor
setupNotificationChannel,accessor
setChannelId,accessor
build,builder
applyNotification,others
notify,others
createNotificationChannel,builder
setContentText,accessor
queryBroadcastReceivers,others
emptyList,assertion
resolveBroadcast,others
size,others
toString,builder
setPackage,accessor
setAction,accessor
isClosed,assertion
close,others
putString,others
putInt,others
call,others
setContentView,accessor
findViewById,others
setOnClickListener,accessor
parseInt,others
show,others
makeText,builder
applyCount,others
finish,assertion
startService,others
removeCount,others
addCategory,others
resolveActivity,others
setText,accessor
getText,accessor
flattenToShortString,others
singletonList,assertion
executeBadgeByContentProvider,others
isSupported,assertion
executeBadge,others
query,others
moveToNext,others
getInt,accessor
getContentValues,accessor
update,others
equals,others
getString,accessor
getColumnIndex,accessor
add,others
applyCountOrThrow,others
isLoggable,assertion
d,others
initBadger,others
i,others
format,accessor
getMessage,accessor
w,others
equalsIgnoreCase,others
getDeclaredField,accessor
get,accessor
getDeclaredMethod,accessor
invoke,others
getLaunchIntentForPackage,accessor
e,others
getComponent,accessor
queryIntentActivities,others
validateInfoList,assertion
newInstance,others
contains,others
isLauncherVersionSupported,assertion
isVersionSupported,assertion
swap,others
getClass,accessor
getSupportLaunchers,accessor
sonyBadgeContentProviderExists,assertion
forName,accessor
setAccessible,accessor
set,accessor
tryNewMiuiBadge,others
getIconResource,accessor
flattenToString,others
