Method_Name,Method_Type
startsWith,accessor
startActivity,others
makeIntent,builder
toString,builder
onCreate,builder
getExtras,accessor
getIntent,accessor
keySet,accessor
getDimensionPixelSize,accessor
getResources,accessor
setPadding,accessor
setText,accessor
getSimpleName,accessor
getClass,accessor
append,others
get,accessor
setContentView,accessor
putExtra,others
getSerializableExtra,accessor
getParcelableExtra,accessor
format,accessor
getStackTraceString,accessor
setGravity,accessor
getTargetContext,accessor
assertEquals,assertion
getPackageName,accessor
arrayContain,others
equals,others
setResult,accessor
finish,assertion
findViewById,others
getChildCount,accessor
getChildAt,accessor
setOnClickListener,accessor
openForResult,accessor
getStringExtra,accessor
isEmpty,assertion
show,others
getText,accessor
makeText,builder
toLowerCase,builder
create,builder
parse,others
concat,others
hashCode,others
isHttp,assertion
match,others
next,others
isArgument,assertion
put,others
argument,others
value,others
getQueryParameterNames,accessor
getQueryParameter,accessor
getType,accessor
transfer,others
putInt,others
parseInt,others
putLong,others
parseLong,others
putBoolean,others
parseBoolean,others
putShort,others
parseShort,others
putFloat,others
parseFloat,others
putDouble,others
parseDouble,others
putByte,others
parseByte,others
putChar,others
charAt,others
putString,others
length,others
getPath,accessor
endsWith,accessor
substring,others
getHost,accessor
split,builder
getScheme,accessor
getRouterCallback,accessor
getData,accessor
open,others
getApplication,accessor
provideRouterCallback,others
init,others
getMessager,accessor
getFiler,accessor
add,others
getCanonicalName,accessor
latestSupported,others
debug,others
getElementsAnnotatedWith,accessor
size,others
getAnnotation,accessor
iterator,others
generateModulesRouterInit,others
generateDefaultRouterInit,others
handleRouter,others
addModifiers,others
addStatement,others
build,builder
writeTo,others
builder,builder
methodBuilder,builder
addCode,others
error,others
intParams,others
longParams,others
booleanParams,others
shortParams,others
floatParams,others
doubleParams,others
byteParams,others
charParams,others
getKind,accessor
getEnclosingElement,accessor
join,others
toUpperCase,builder
replaceFirst,others
printMessage,others
addMethod,others
classBuilder,builder
printStackTrace,others
sort,others
compareTo,others
getFormat,accessor
getGlobalCallback,accessor
beforeOpen,accessor
doOpen,others
afterOpen,others
notFound,others
resolve,others
initIfNeed,others
getActivity,accessor
putExtras,others
parseExtras,others
invoke,others
addFlags,others
startActivityForResult,accessor
getApplicationContext,accessor
getMethod,accessor
getEncodedQuery,accessor
emptySet,accessor
indexOf,others
decode,others
unmodifiableSet,accessor
