Method_Name,Method_Type
getRealPathFromURI,accessor
decodeFile,others
decodeStream,others
close,others
printStackTrace,others
getAttributeInt,accessor
getWidth,accessor
getHeight,accessor
calculateInSampleSize,others
createBitmap,builder
setScale,accessor
setMatrix,accessor
drawBitmap,others
postRotate,others
generateFilePath,others
toLowerCase,builder
getScaledBitmap,accessor
compress,others
exists,assertion
mkdirs,others
isEmpty,assertion
splitFileName,others
getFileName,accessor
getAbsolutePath,accessor
round,others
name,others
getPath,accessor
compressImage,others
fromFile,others
getCacheDir,accessor
getTargetContext,accessor
assertEquals,assertion
getPackageName,accessor
isSpace,assertion
isFileExists,assertion
getFileByPath,accessor
rename,others
equals,others
getName,accessor
getParent,accessor
renameTo,others
isDir,assertion
isDirectory,assertion
isFile,assertion
delete,others
d,others
openInputStream,others
createTempFile,builder
renameFile,others
deleteOnExit,others
copy,others
lastIndexOf,others
substring,others
query,others
getContentResolver,accessor
moveToFirst,others
getString,accessor
getColumnIndex,accessor
copyLarge,others
read,others
write,others
getScheme,accessor
decodeResource,others
createScaleBitmap,builder
createScaledBitmap,builder
recycle,others
onCreate,builder
setContentView,accessor
initInstances,others
findViewById,others
compressToFile,others
getApplicationContext,accessor
setImageBitmap,accessor
setText,accessor
format,accessor
getReadableFileSize,accessor
length,others
setType,accessor
startActivityForResult,accessor
onActivityResult,others
showError,others
getTempFile,accessor
getData,accessor
clearImage,others
show,others
argb,others
nextInt,others
setBackgroundColor,accessor
getRandomColor,accessor
setImageDrawable,accessor
log10,others
pow,others
getDefault,accessor
makeText,builder
charAt,others
regionMatches,others
isLowerCase,assertion
valueOf,accessor
isUpperCase,assertion
toCharArray,builder
trim,others
