Method_Name,Method_Type
add,others
remove,others
onChanged,others
onInvalidated,others
getSystemService,accessor
getItemsCount,accessor
getView,accessor
getTextView,accessor
getItemText,accessor
setText,accessor
configureTextView,others
setTextColor,accessor
setGravity,accessor
setPadding,accessor
setTextSize,accessor
findViewById,others
e,others
inflate,others
startActivity,others
overridePendingTransition,others
putExtra,others
putExtras,others
finish,assertion
startActivityForResult,accessor
setFlags,accessor
getItem,accessor
from,others
setDuration,accessor
setView,accessor
show,others
onCreate,builder
setContentView,accessor
getParcelableExtra,accessor
initView,others
setData,accessor
size,others
getName,accessor
getCityList,accessor
setAdapter,accessor
setOnItemClickListener,accessor
setName,accessor
setId,accessor
getId,accessor
setResult,accessor
setVisibility,accessor
setOnClickListener,accessor
setLayoutManager,accessor
addItemDecoration,others
getIntent,accessor
get,accessor
parseLong,others
getContext,accessor
setTag,accessor
getTag,accessor
equals,others
setEnabled,accessor
toString,builder
getBytes,accessor
println,others
getChsAscii,accessor
valueOf,accessor
length,others
substring,others
convert,others
append,others
getSelling,accessor
getResource,accessor
onActivityResult,others
onDestroy,others
onItemSelected,others
writeString,others
readString,others
writeTypedList,assertion
createTypedArrayList,builder
getJson,accessor
getType,accessor
fromJson,others
isEmpty,assertion
initList,assertion
setCityData,accessor
getCityListData,accessor
addAll,others
filledData,others
sort,others
notifyDataSetChanged,accessor
toLowerCase,builder
toUpperCase,builder
matches,others
setSortLetters,accessor
d,others
getInstance,accessor
setTextView,accessor
setOnTouchingLetterChangedListener,accessor
getPositionForSection,accessor
charAt,others
setSelection,accessor
findCity,others
putParcelable,others
addTextChangedListener,assertion
filterData,others
clear,others
contains,others
startsWith,accessor
updateListView,assertion
toPinyin,builder
put,others
getTitle,accessor
setBackgroundResource,accessor
getResourId,accessor
onItemClick,others
getLayoutPosition,accessor
initCustomeCityData,others
setWheelType,accessor
showView,others
reset,accessor
setOnCheckedChangeListener,accessor
setChecked,accessor
parseColor,others
build,builder
drawShadows,others
setCustomItemTextViewId,accessor
cityCyclic,others
city,others
provinceCyclic,others
visibleItemsCount,assertion
setCustomConfig,accessor
setOnCustomCityPickerItemClickListener,accessor
showCityPicker,others
