Method_Name,Method_Type
getContext,accessor
format,accessor
getString,accessor
getAppVersionName,accessor
instance,others
clear,others
appendAutoUpdateSwitch,others
appendUpdateCheckButton,others
appendUpdateSource,others
appendSiteLink,others
appendDonation,others
showDialog,others
appendSingleSwitch,others
from,others
enableUpdateCheck,others
isSelected,assertion
isUpdateCheckEnabled,assertion
start,others
appendSingleButton,others
openLink,others
getMap,accessor
entrySet,accessor
add,others
getKey,accessor
toQrCodeLink,builder
getValue,accessor
isEmpty,assertion
appendStringsCategory,others
getStringArray,accessor
getPreferredHost,accessor
setPreferredHost,accessor
getHost,accessor
equals,others
appendRadioCategory,others
getResources,accessor
restoreState,others
getApplicationContext,accessor
persistState,assertion
getData,accessor
splitObjectLegacy,others
parseBoolean,others
setData,accessor
mergeObject,others
getSimpleName,accessor
getSignInManager,accessor
setContext,accessor
show,others
isSelectAccountOnBootEnabled,assertion
subscribe,others
subscribeOn,others
newThread,others
mainThread,others
createAndShowDialog,builder
e,others
getMessage,accessor
disposeActions,assertion
size,others
appendAccountSelection,others
selectAccount,others
closeDialog,others
formatAccount,accessor
refresh,others
getEmail,accessor
getName,accessor
observeOn,others
getAccountsObserve,accessor
appendSelectAccountOnBoot,others
appendSelectAccountSection,others
appendAddAccountButton,others
appendRemoveAccountSection,others
removeAccount,others
showMessage,others
selectAccountOnBoot,others
resolveAttribute,others
getColor,accessor
copy,others
getConfig,accessor
setColorFilter,accessor
drawBitmap,others
obtainStyledAttributes,others
getTheme,accessor
getDrawable,accessor
recycle,others
onCreate,builder
addAsRoot,others
finish,assertion
finishReally,assertion
setView,accessor
onActivityCreated,builder
onViewInitialized,others
onDestroy,others
onViewDestroyed,others
setTitle,accessor
setText,accessor
getGuidanceStylist,accessor
getActivity,accessor
build,builder
id,others
getId,accessor
onActionClicked,others
title,others
getTitleView,accessor
unhold,others
updateDeviceCode,others
close,others
getView,accessor
getRemoteManager,accessor
showCode,others
startView,others
getPairingCodeObserve,accessor
isAmazonFireTVDevice,assertion
restoreData,others
persistData,assertion
parseStr,others
setContentView,accessor
findFragmentById,others
getFragmentManager,accessor
getColorScheme,accessor
setTheme,accessor
setRequestedOrientation,accessor
isMenuKey,assertion
onKeyDown,others
d,others
onFinish,assertion
checkActivity,others
buildPreferenceFragment,builder
startPreferenceFragment,others
findPreference,others
addCategories,others
runOnUiThread,others
newInstanceStringList,assertion
setTargetFragment,accessor
newInstanceSingle,others
onPreferenceDisplayDialog,assertion
getField,accessor
initPrefs,others
createPreferenceScreen,builder
getPreferenceManager,accessor
setPreferenceScreen,accessor
setSingleCategoryAsRoot,accessor
addPreference,others
createPreference,builder
getPreferenceCount,accessor
getPreference,accessor
onDisplayPreferenceDialog,assertion
addOnBackStackChangedListener,assertion
getBackStackEntryCount,accessor
popBackStack,others
onPreferenceTreeClick,others
