Method_Name,Method_Type
clone,others
forName,others
isMimeTypeEqual,assertion
getRepresentationClass,accessor
equalsIgnoreCase,others
match,others
getBackgroundExecutor,accessor
onCreate,builder
getIntent,accessor
finish,assertion
getCharSequenceExtra,accessor
getBooleanExtra,accessor
getSupportActionBar,accessor
toString,builder
from,others
setContentView,accessor
findViewById,others
setOnItemClickListener,accessor
getContext,accessor
getAdapter,accessor
submit,others
getInstance,accessor
answer,others
getTime,accessor
e,others
getHtml,accessor
getText,accessor
getSystemService,accessor
setPrimaryClip,accessor
newHtmlText,others
getString,accessor
makeText,builder
putExtra,others
setResult,accessor
execute,others
setVisibility,accessor
setAdapter,accessor
unexpectedError,others
getSupportFragmentManager,accessor
attachBaseContext,others
getLocalizedContext,accessor
log,others
getClass,accessor
myPid,others
join,others
getExtras,accessor
hasPermission,assertion
getDefaultSharedPreferences,accessor
getBoolean,accessor
getWindow,accessor
setTheme,accessor
getTheme,accessor
isDarkTheme,assertion
getDecorView,accessor
getSystemUiVisibility,accessor
setSystemUiVisibility,accessor
registerOnSharedPreferenceChangeListener,assertion
resolveColor,others
getDrawable,accessor
createBitmap,builder
getIntrinsicWidth,accessor
getIntrinsicHeight,accessor
setBounds,accessor
getWidth,accessor
getHeight,accessor
setTint,accessor
draw,others
alpha,others
w,others
toHexString,others
setAlphaComponent,accessor
setTaskDescription,accessor
setNavigationBarColor,accessor
checkAuthentication,others
onNewIntent,others
getSize,accessor
onSaveInstanceState,others
d,others
put,others
getFreeMemMb,accessor
breadcrumb,others
keySet,accessor
get,accessor
onResume,others
i,others
startActivity,others
onPause,others
shouldAuthenticate,others
finishAndRemoveTask,assertion
onConfigurationChanged,others
addFlags,others
onStop,others
isInteractive,assertion
isEmpty,assertion
clearAuthentication,others
onDestroy,others
getAction,accessor
logExtras,others
getData,accessor
onActivityResult,others
finishAffinity,assertion
processStreams,others
setClipData,accessor
hasExtra,others
equals,others
getParcelableArrayListExtra,accessor
removeExtra,others
add,others
processUri,others
putParcelableArrayListExtra,assertion
getParcelableExtra,accessor
fromSingleUri,others
getName,accessor
getLastPathSegment,accessor
getCacheDir,accessor
exists,assertion
mkdir,others
copy,others
getContentResolver,accessor
getUriForFile,accessor
reportNoViewer,others
formatThrowable,others
startActivityForResult,others
isTnef,assertion
getType,accessor
viewFAQ,others
startService,others
getAll,accessor
asList,assertion
getLifecycle,accessor
remove,others
backHandled,others
onBackPressed,others
onKeyPressed,others
dispatchKeyEvent,assertion
dispatchTouchEvent,assertion
onTouchEvent,others
getItemId,accessor
onOptionsItemSelected,others
getComponent,accessor
getPackageName,accessor
shouldUpRecreateTask,builder
getMainHandler,accessor
isAssignableFrom,assertion
setAccessible,accessor
set,accessor
elapsedRealtime,others
replace,others
commit,others
isPlayStoreInstall,assertion
isTesting,assertion
newBuilder,builder
startConnection,others
addAction,others
registerReceiver,assertion
isReady,assertion
queryPurchases,others
unregisterReceiver,assertion
endConnection,others
currentTimeMillis,assertion
sha256,others
getChallenge,accessor
getQueryParameter,accessor
activatePro,others
getResponse,accessor
edit,others
updateData,others
onPurchase,others
onPurchaseConsume,others
onPurchaseError,others
getSkuPro,accessor
setSkusList,accessor
setType,accessor
querySkuDetailsAsync,others
build,builder
getResponseCode,accessor
size,others
reportError,others
setSkuDetails,accessor
launchBillingFlow,others
parse,others
view,others
getPurchasesList,accessor
consumePurchase,others
getBillingResult,accessor
getStringExtra,accessor
hasPlayStore,others
getSupportUri,accessor
buildUpon,builder
onConnected,others
onDisconnected,assertion
retry,others
checkPurchases,others
getLong,accessor
getSku,accessor
getPurchaseTime,accessor
isPurchased,assertion
isPurchaseValid,assertion
getOriginalJson,accessor
onPurchased,others
onPurchasePending,others
decode,others
generatePublic,others
initVerify,others
update,others
verify,others
getSignature,accessor
putBoolean,others
putLong,others
isAcknowledged,assertion
acknowledgePurchase,others
apply,others
querySkus,others
onSkuDetails,others
getPrice,accessor
getPurchaseToken,accessor
consumeAsync,others
postDelayed,others
getPurchaseState,accessor
getBillingResponseText,accessor
getDebugMessage,accessor
onError,others
handle,others
setIntent,accessor
isShared,assertion
startsWith,others
getParentActivityIntent,accessor
create,builder
getScheme,accessor
sanitize,others
getTo,accessor
putString,others
getCc,accessor
getSubject,accessor
getHeaders,accessor
getBody,accessor
split,others
append,others
escapeHtml,others
getStringArrayExtra,accessor
toHtml,others
replaceAll,others
putParcelableArrayList,assertion
containsKey,others
getFragments,accessor
onSharedAttachments,others
getParcelableArrayList,accessor
setArguments,accessor
beginTransaction,others
undoSend,others
operation,others
message,others
folder,others
identity,others
getFile,accessor
renameTo,others
attachment,others
queue,others
setTransactionSuccessful,accessor
endTransaction,others
eval,others
cancel,others
load,others
putParcelable,others
getParcelable,accessor
openInputStream,others
read,others
write,others
decodeMime,others
name,others
highlightHeaders,others
setText,accessor
make,builder
getMessage,accessor
setHasFixedSize,accessor
setLayoutManager,accessor
setMovementMethod,accessor
getOffset,accessor
getSpans,accessor
getURL,accessor
getSpanStart,accessor
getSpanEnd,accessor
subSequence,others
show,others
setOnClickListener,accessor
share,others
setBackground,accessor
getSessionProperties,accessor
formatAddresses,others
getFrom,accessor
getReply,accessor
getBcc,accessor
getSent,accessor
getReceived,accessor
getMessageParts,accessor
sanitizeView,others
fromDocument,others
getStructure,accessor
getDateTimeInstance,accessor
format,others
getAttachmentParts,accessor
getInputStream,accessor
getMimeType,accessor
addCategory,others
openAdvanced,others
resolveActivity,others
getPackageManager,accessor
getChooser,accessor
getHeader,accessor
getAllHeaders,accessor
hasMoreElements,others
nextElement,others
length,others
setSpan,accessor
getValue,accessor
humanReadableByteCount,others
isMimeType,assertion
getContent,accessor
detect,others
getContentType,accessor
getParameter,accessor
isUTF8,assertion
getBytes,accessor
getCount,accessor
getBodyPart,accessor
onSaveAttachment,others
