Method_Name,Method_Type
compile,others
getPathForModule,accessor
add,others
getPathForRelativePath,accessor
build,builder
getVerbosity,accessor
getStdOut,accessor
createTempFile,builder
addModule,others
isSuccess,assertion
builder,builder
getModulesPaths,accessor
isPresent,assertion
setBundleConfig,accessor
get,accessor
contains,others
addFile,others
toFile,others
getGenPathForBaseName,accessor
format,others
getModuleName,accessor
getPath,accessor
addModuleFiles,others
sealApk,others
logError,others
getArchivePath,accessor
getFile1,accessor
getFile2,accessor
setDebugMode,accessor
getDexFile,accessor
getDexFileName,accessor
getResourceApk,accessor
isBaseModule,assertion
packageFile,others
resolve,others
processFileForResource,others
getNativeLibraryDirectories,accessor
addNativeLibraries,others
getAssetDirectories,accessor
addSourceFolder,others
isEmpty,assertion
getZipFiles,accessor
exists,assertion
isFile,assertion
getJarFilesThatMayContainResources,accessor
isDirectory,assertion
listFiles,assertion
getName,accessor
checkFolderForPackaging,others
toString,builder
checkFileForPackaging,others
toPath,others
addFileToBuilder,builder
matcher,others
equals,others
entries,others
hasMoreElements,others
nextElement,others
isEntryPackageable,assertion
resolveFileInModule,others
convertZipEntryToFile,others
isDirectoryEntryPackageable,assertion
isFileEntryPackageable,assertion
isValidMetaInfEntry,assertion
startsWith,others
deleteOnExit,others
getInputStream,accessor
copy,others
on,others
resolvePath,others
getSourcePathResolver,accessor
getRootPath,accessor
getCommandPrefix,accessor
getRelativePath,accessor
of,others
addAll,others
getSourcePath,accessor
getBuildable,accessor
buildDepsSupplier,builder
fromCellRelativePath,others
getBuildCellRootPath,accessor
getProjectFilesystem,accessor
getResourceApkPath,accessor
prepareManifestForAapt,others
getFinalManifestPath,accessor
reverse,others
toList,assertion
stream,others
getArgsPath,accessor
recordArtifact,others
getProguardConfigPath,accessor
getRDotTxtPath,accessor
getInitialRDotJavaDir,accessor
getGenDir,accessor
getBuildTarget,accessor
copyOf,others
transform,others
getParameters,accessor
writeContentsToPath,others
forEach,others
createProjectWorkspaceForScenario,builder
setUp,accessor
runBuckdCommand,others
verifyAapt2RuleInvocation,others
getBuildLog,accessor
resetBuildLogFile,accessor
replaceFileContents,others
getClass,accessor
getLogEntry,accessor
assertThat,assertion
getStatus,accessor
is,assertion
equalTo,others
getSuccessType,accessor
naturalOrder,others
toBuildRulesFor,builder
filterBuildRuleInputs,builder
getRule,accessor
getResourceFilterRule,accessor
memoize,others
getAllDeps,accessor
getScratchPath,accessor
getPathToRDotTxtDir,accessor
getAndroidManifestXml,accessor
getPathToGeneratedProguardConfigFile,accessor
getParent,accessor
getRelativeResDirectories,accessor
toImmutableList,assertion
getSourcePathToOutput,accessor
getPathToRDotTxtFile,accessor
getPlaceholders,accessor
forFile,others
getGenPath,accessor
getProjectFileSystem,accessor
runBuckBuild,builder
newInstance,others
dosToJavaTime,others
getNextEntry,accessor
getTime,accessor
set,accessor
fromInt,others
hashCode,others
from,others
createBuilder,builder
requireRule,others
createPathSourcePath,builder
empty,others
calculateRuleKey,others
assertKeyChanged,assertion
createIdentifyResourcesProvider,builder
withFlavors,others
getRes,accessor
assertNotEquals,assertion
create,builder
getFileName,accessor
equalsIgnoreCase,others
endsWithIgnoreCase,others
endsWith,others
getAaptExecutable,accessor
dedupKeepLast,others
getAndroidJar,accessor
getMinSdkVersion,accessor
getTargetSdkVersion,accessor
getVersionCode,accessor
getVersionName,accessor
getDebugMode,accessor
hasAny,others
iterator,others
hasNext,others
next,others
buildAaptStep,builder
emptyList,assertion
newBuilder,builder
createTestExecutionContext,builder
getShellCommandInternal,accessor
assertTrue,assertion
assertFalse,assertion
pathWithPlatformSeparators,others
assertEquals,assertion
indexOf,others
buildAndReturnOutput,builder
readAllBytes,others
containsString,others
addBuckConfigLocalOption,others
assumeThat,others
visit,assertion
shouldIncludeInnerClass,others
visitInnerClass,assertion
checkState,others
shouldInclude,others
visitField,assertion
substring,others
length,others
visitMethod,assertion
isInterface,assertion
isAnnotation,assertion
isEnum,assertion
getMethodType,accessor
getObjectType,accessor
visitNestMember,assertion
visitEnd,assertion
requireNonNull,others
createMock,builder
testExcludesFieldWithAccess,others
testIncludesFieldWithAccess,others
testExcludesMethodWithAccess,others
testIncludesMethodWithAccess,others
visitClass,assertion
replay,others
verify,others
testFieldWithAccess,others
expect,others
testMethodWithAccess,others
getOutputName,accessor
getAbsolutePath,accessor
none,others
createCellRoots,builder
setup,accessor
addToIndex,others
coerceAndStringify,others
getSourcePathToSupplementaryOutput,accessor
createJavaOnlyFilesystem,builder
expectMessage,others
allOf,others
typeCoercerForType,others
convert,others
stringify,others
isAssignableFrom,assertion
getOutputClass,accessor
traverse,others
size,others
relativize,others
comparing,others
isAbsolute,assertion
getOwner,accessor
registerActionAnalysisDataForAction,assertion
getOutputs,accessor
getArtifact,accessor
getInputs,accessor
toImmutableSet,accessor
toImmutableSortedSet,accessor
natural,others
entrySet,accessor
toImmutableSortedMap,others
getKey,accessor
computeIfAbsent,others
getValue,accessor
immediateFuture,others
getUnflavoredBuildTarget,accessor
requireBound,others
requireDeclared,others
isBound,assertion
getOwnerTyped,accessor
compareClasses,others
compare,others
asBound,others
asDeclared,others
getTarget,accessor
containsKey,others
getTargetConfigurationFromMetadata,accessor
isNullOrEmpty,assertion
deserialize,others
apply,others
multiContainsImpl,others
keySet,accessor
verbose,others
getType,accessor
setResult,accessor
reschedule,others
getMessage,accessor
values,others
error,others
multiFetchStarted,others
getRequest,accessor
multiFetchImpl,others
getResults,accessor
getCacheResult,accessor
skipped,others
finished,assertion
failed,others
incrementAndGet,accessor
info,others
fetchStarted,others
getRuleKey,accessor
fetchImpl,others
getOutput,accessor
getCheckRequests,accessor
getFetchRequest,accessor
skipPendingRequest,others
getMode,accessor
cancelRequest,others
skipAllPendingRequests,others
doFetch,others
put,others
doMultiCheck,others
cancelAllPendingRequests,others
getMultiFetchBatchSize,accessor
doMultiFetch,others
setException,accessor
addFetchRequest,others
poll,others
drainTo,others
submit,others
isMultiCheckEnabled,assertion
addCheckRequest,others
getCacheResults,accessor
getCacheReadMode,accessor
getFileSize,accessor
artifactExceedsMaximumSize,others
getPathForArtifact,accessor
storeScheduled,others
started,others
storeImpl,others
getRuleKeys,accessor
builderWithExpectedSize,builder
deleteImpl,others
canBorrow,others
copyFile,others
fetchAsync,others
ofInstance,others
run,others
isDone,assertion
assertIterablesEquals,assertion
runOnce,others
skipPendingAndFutureAsyncFetches,others
rangeClosed,others
hit,others
miss,assertion
skip,others
min,others
sendBatch,others
logMultiple,others
log,others
getUploadedBatches,accessor
hasSize,others
forceFlush,others
getNodesWithNoIncomingEdges,accessor
getOutgoingNodesFor,accessor
addNode,others
addEdge,others
subList,assertion
remove,others
onComplete,others
start,others
createNode,builder
getDeps,accessor
filter,others
parseInt,others
compareTo,others
getEventKey,accessor
getEventName,accessor
getValueString,accessor
isRelatedTo,assertion
hash,others
getSimpleName,accessor
getSelection,accessor
getBuckTargetLocator,accessor
findBuckFileForVirtualFile,others
isDefault,assertion
getProject,accessor
getBuckCellManager,accessor
findCellByVirtualFile,others
flatMap,others
findCellByName,others
findTargetPatternForVirtualFile,accessor
findRelativePath,others
isDebug,assertion
setIcon,accessor
setText,accessor
truncateName,others
setEnabledAndVisible,accessor
getContainingFile,accessor
getQualifiedName,accessor
createTestConfigurationFromContext,builder
getInstance,accessor
getConfigurationFactories,accessor
createRunConfiguration,builder
getConfiguration,accessor
addConfiguration,others
command,others
runInCurrentThreadPostEnd,others
getAndSet,accessor
setSelectedConfiguration,accessor
getDebugExecutorInstance,accessor
executeConfiguration,others
createProjectFilesystem,builder
getRoot,accessor
mkdirs,others
createNewFile,builder
key,others
rootCell,others
getPackageRoots,accessor
expectCause,others
instanceOf,others
createSymLink,builder
anyOf,others
assumeFalse,others
isWindows,assertion
assumeTrue,others
isBuildFileCaseSensitive,builder
assumeNamesAreCaseInsensitive,others
assumeNamesAreCaseSensitive,others
assumeStarIsAllowedInNames,assertion
assumeQuestionIsAllowedInNames,assertion
getComputationStages,accessor
compute,others
detect,others
checkArgument,others
getBuckPaths,accessor
getCell,accessor
computeHashCode,others
setField,accessor
getDeclaredField,accessor
setAccessible,accessor
isAnonymousClass,assertion
getSuperclass,accessor
to,others
getFullyQualifiedName,accessor
getBuildDeps,accessor
getRuleOptional,accessor
isInstance,assertion
cast,others
toStringWithConfiguration,others
unresolvableRuleException,others
getRuleOptionalWithType,accessor
getDeclaredDeps,accessor
getExtraDeps,accessor
getTargetGraphOnlyDeps,accessor
orderedBy,others
comparator,others
getCellPathsByRootCellExternalName,accessor
getCellPathOrThrow,accessor
getCellPath,accessor
getNewCellPathResolver,accessor
getCellName,accessor
getFileSystem,accessor
compareAndSet,accessor
accept,others
close,others
saveConfigOptionInOverrides,others
getParser,accessor
getCause,accessor
printShortDescription,others
getPluginManager,accessor
println,others
