Method_Name,Method_Type
error,others
checkNotNull,others
checkArgument,others
getDiagnosticGroups,accessor
getRegisteredGroups,accessor
equals,others
contains,others
setWarningLevel,accessor
setWarningGuardOptions,accessor
isEmpty,assertion
addAllowlistWarningsGuard,assertion
addWarningsGuard,others
toArray,others
setBrowserFeaturesetYear,accessor
getMessage,accessor
createDefineReplacements,builder
setTweakProcessing,accessor
setDependencyOptions,accessor
setCodingConvention,accessor
setSummaryDetailLevel,accessor
setTrustedStrings,accessor
getLegacyOutputCharset,accessor
getOutputCharset2,accessor
getInputCharset,accessor
length,others
isOutputInJson,assertion
entrySet,accessor
builder,builder
getValue,accessor
put,others
getKey,accessor
build,builder
load,others
add,others
setProcessCommonJSModules,accessor
addReportGenerator,others
getErrorPrintStream,accessor
setErrorManager,accessor
of,others
getExternsInput,accessor
toLowerCase,others
toString,builder
getNextEntry,accessor
getName,accessor
startsWith,others
substring,others
limit,others
getSize,accessor
prepareExterns,others
getResourceAsStream,accessor
doRun,others
println,others
printStackTrace,others
apply,others
beginArray,others
hasNext,others
fromJson,others
endArray,others
createInputs,builder
size,others
getFirst,accessor
getNumInputs,accessor
get,accessor
fromZipFile,others
containsKey,others
checkState,others
replace,others
addAll,others
fromCode,others
getPath,accessor
getSrc,accessor
getModuleRootRelativeName,accessor
iterator,others
next,others
endsWith,others
make,builder
remove,others
isInTestMode,assertion
deduplicateIjsFiles,others
report,others
addDependency,others
subList,assertion
values,others
isJSIdentifier,assertion
indexOf,others
parseModuleOutputFiles,others
parseModuleWrappers,others
copyOf,others
getModuleGraph,accessor
maybeCreateDirsForPath,builder
writeOutput,others
getOptions,accessor
append,others
toSource,others
getSourceMap,accessor
isNullOrEmpty,assertion
charAt,others
getParent,accessor
mkdirs,others
fileNameToLegacyOutputWriter,others
streamToLegacyOutputWriter,others
flush,others
close,others
getCompileMetricsRecorder,accessor
recordActionStart,others
getVersionText,accessor
setLoggingLevel,accessor
parse,others
createCompiler,builder
createOptions,builder
setRunOptions,accessor
createExterns,builder
constructRootRelativePathsMap,others
getProcessCommonJSModules,accessor
create,builder
parseJsonFilesFromInputStream,others
getWebpackId,accessor
putAll,others
initWebpackMap,others
setDoLateLocalization,accessor
shouldDoLateLocalization,others
initOptions,others
createSourceInputs,builder
checkModuleName,others
createJsModules,builder
getModuleOutputFileName,accessor
initModulesWithTypedAstFilesystem,others
initModules,others
initWithTypedAstFilesystem,others
init,others
printConfig,others
recordActionName,others
orderInputsWithLargeStack,others
hasErrors,others
generateReport,others
getResult,accessor
getInstrumentForCoverageOnly,accessor
instrumentForCoverage,others
shouldSaveAfterStage1,others
performStage1andSave,others
getSaveCompilationStateToFilename,accessor
