Method_Name,Method_Type
anyOf,others
staticMethod,others
constructor,others
matches,others
getResultType,accessor
isEmpty,assertion
get,accessor
isBadType,assertion
describeMatch,others
matchType,others
overridesMethodOfClass,others
of,others
builder,builder
getExpression,accessor
getName,accessor
checkNotNull,others
getSymbol,accessor
findSuperMethods,others
getTypes,accessor
getQualifiedName,accessor
matcher,others
methodMatcher,others
visit,assertion
getMatchResult,accessor
extractSourceTree,others
extractSourceType,others
extractTargetType,accessor
create,builder
asSuper,others
getTypeArguments,accessor
size,others
empty,others
format,others
sourceTree,others
allOf,others
not,others
hasAnnotationOnAnyOverriddenMethod,others
enclosingClass,others
annotationReplacements,others
tryToReplaceAnnotation,others
correctAnnotation,others
getUnqualifiedClassName,accessor
getModifiers,accessor
getSimpleName,accessor
makeProtectedPublic,builder
build,builder
prefixWith,others
hasModifier,others
getSourceForNode,accessor
replace,others
toString,builder
hasAnnotation,others
findAnnotation,others
substring,others
lastIndexOf,others
getSymbolFromString,accessor
getLockExpressions,accessor
parseLockExpressions,others
isPresent,assertion
buildDescription,builder
getUnwanted,accessor
intersection,others
buildMessage,builder
formatLockString,others
getActual,accessor
difference,others
from,others
toStringFunction,others
naturalOrder,others
on,others
bindString,others
allOn,others
add,others
getPath,accessor
getLeaf,accessor
getParentPath,accessor
provideFix,others
extract,others
ofNullable,others
getType,accessor
getArguments,accessor
isSameType,assertion
getSymtab,accessor
extractType,others
isField,assertion
map,others
toList,assertion
extractFirstArg,others
toType,others
extractClassArg,others
compile,others
argFromClass,others
checkMockedType,others
reverse,others
asElement,others
getAnnotation,accessor
getAnnotationMirrors,accessor
getAnnotationType,accessor
complete,others
unmockableClass,others
reason,others
getOnlyElement,accessor
emptyToNull,others
apply,others
memoize,others
symbolHasAnnotation,others
getCanonicalName,accessor
instanceMethod,others
findingPerMethod,others
scan,others
withPath,others
getCurrentPath,accessor
matchNewClassOrMethodInvocation,others
verify,others
visitMethodInvocation,assertion
getBody,accessor
flush,others
isInStaticInitializer,assertion
checkClosed,others
expectedExceptionTest,others
mockitoInvocation,others
enclosingMethod,others
emptyFix,others
getTrueExpression,accessor
getFalseExpression,accessor
getTypeFromString,accessor
isSubtype,assertion
enclClass,others
getReturnType,accessor
getKind,accessor
isClosedInFinallyClause,assertion
variableInitializationCountsAsClosing,others
addFix,others
isStatic,assertion
stream,others
isConsideredFinal,assertion
getStatements,accessor
getFinallyBlock,accessor
equals,others
getReceiver,accessor
wrapTryFinallyAroundVariableScope,others
findEnclosing,others
introduceSingleStatementTry,others
extractToResourceInCurrentTry,others
splitVariableDeclarationAroundTry,others
chooseFixType,others
suggestName,others
delete,others
qualifyType,others
getStartPosition,accessor
getInitializer,accessor
getEndPosition,accessor
getIdentifier,accessor
to,others
put,others
asMap,others
getKey,accessor
getValue,accessor
ifPresent,others
postfixWith,others
repeat,others
merge,others
clear,others
visitNullLiteral,assertion
updateRegularStore,others
visitTypeCast,assertion
values,others
noStoreChanges,others
visitNumericalAddition,assertion
visitNumericalOperation,assertion
visitNarrowingConversion,assertion
visitEqualTo,assertion
updateStore,others
getThenStore,accessor
getElseStore,accessor
conditionalResult,others
visitNotEqual,assertion
visitAssignment,assertion
visitLocalVariable,assertion
getRegularStore,accessor
visitFieldAccess,assertion
tryGetMethodSymbol,accessor
getTree,accessor
visitObjectCreation,assertion
visitShortLiteral,assertion
visitValueLiteral,assertion
visitIntegerLiteral,assertion
visitLongLiteral,assertion
visitFloatLiteral,assertion
visitDoubleLiteral,assertion
visitBooleanLiteral,assertion
visitCharacterLiteral,assertion
visitStringLiteral,assertion
visitNumericalMinus,assertion
visitNumericalPlus,assertion
visitBitwiseComplement,assertion
visitBitwiseOperation,assertion
visitNullChk,assertion
visitStringConcatenate,assertion
visitNumericalSubtraction,assertion
visitNumericalMultiplication,assertion
visitIntegerDivision,assertion
visitFloatingDivision,assertion
visitIntegerRemainder,assertion
visitFloatingRemainder,assertion
visitLeftShift,assertion
visitSignedRightShift,assertion
visitUnsignedRightShift,assertion
visitBitwiseAnd,assertion
visitBitwiseOr,assertion
visitBitwiseXor,assertion
visitStringConcatenateAssignment,assertion
