Method_Name,Method_Type
split,others
lastIndexOf,others
substring,others
containsKey,others
put,others
entrySet,accessor
append,others
getKey,accessor
getValue,accessor
length,others
setLength,accessor
toString,builder
asList,assertion
size,others
get,accessor
startsWith,others
insert,others
keySet,accessor
isDefaultAce,assertion
removeNamedAceAndUpdateSet,accessor
contains,others
containsNamedAce,others
remove,others
recalculateMask,others
isNamedAce,assertion
equals,others
add,others
isExtendAcl,assertion
or,others
getFsAction,accessor
charAt,others
getLogger,accessor
getExponentialRetryPolicy,accessor
getAccountName,accessor
getAuthType,accessor
getClientProvidedEncryptionKey,accessor
getBase64EncodedString,accessor
getSHA256Hash,accessor
trace,others
getPreferredSSLFactoryOption,accessor
initializeDefaultFactory,others
getDefaultFactory,accessor
getMessage,accessor
initializeUserAgent,others
getAbfsPerfTracker,accessor
getAbfsCounters,accessor
setNameFormat,accessor
listeningDecorator,assertion
newScheduledThreadPool,others
getNumLeaseThreads,accessor
getInstance,accessor
digest,others
getBytes,accessor
getEncoder,accessor
cleanupWithLogger,others
shutdown,others
addQuery,others
createDefaultHeaders,builder
createRequestUrl,builder
execute,others
createDefaultUriQueryBuilder,builder
getDirectoryQueryParameter,accessor
valueOf,others
isUpnUsed,assertion
appendSASTokenToQuery,others
addCustomerProvidedKeyHeaders,others
isEmpty,assertion
hasResult,others
getResult,accessor
randomUUID,others
urlEncode,others
getFileSystem,accessor
now,others
renameIdempotencyCheckOp,others
checkArgument,others
isARetriedRequest,assertion
getPathStatus,accessor
isRecentlyModified,assertion
debug,others
getLeaseId,accessor
getPosition,accessor
getMode,accessor
getoffset,accessor
getLength,accessor
isAppendBlob,assertion
appendSuccessCheckOp,others
hardSetResult,accessor
parseLong,others
format,others
deleteIdempotencyCheckOp,others
getUrl,accessor
getRequestHeaders,accessor
setAcl,accessor
getAclStatus,accessor
isNullOrEmpty,assertion
getSASToken,accessor
setSASToken,accessor
encode,others
getToken,accessor
getProperty,accessor
appendIfNotEmpty,others
getUserAgentSuffix,accessor
getClusterName,accessor
getClusterType,accessor
getCustomUserAgentPrefix,accessor
trim,others
schedule,others
submit,others
addCallback,others
isNotEmpty,assertion
currentTimeMillis,assertion
addAndGet,accessor
incrementAndGet,accessor
sleep,others
currentThread,others
max,others
min,others
isDebugEnabled,assertion
compareAndSet,accessor
getAndSet,accessor
analyzeMetricsAndUpdateSleepDuration,others
set,accessor
getStatusCode,accessor
getBytesSent,accessor
addBytesTransferred,others
getConnection,accessor
getContentLengthIfKnown,accessor
suspendIfNecessary,others
incrementCounter,others
excludeIncompatibleCredentialProviders,others
getBoolean,accessor
getClass,accessor
setAccessible,accessor
isAnnotationPresent,assertion
validateInt,others
validateIntWithOutlier,others
validateLong,others
validateString,others
validateBase64String,others
validateBoolean,others
getTrilean,accessor
accountConf,others
getLong,accessor
getPassword,accessor
getPasswordString,accessor
getAccountSpecificClass,accessor
getAccountAgnosticEnum,accessor
getAccountAgnosticClass,accessor
asSubclass,others
getEnum,accessor
unset,accessor
setBoolean,accessor
getClassByName,accessor
newInstance,others
getStorageAccountKey,accessor
getRawConfiguration,accessor
getTokenProviderClass,accessor
getMandatoryPasswordString,accessor
getTrimmedPasswordString,accessor
appendSlashIfNeeded,others
getName,accessor
initialize,others
getCustomTokenFetchRetryCount,accessor
getAnnotation,accessor
ConfigurationKey,others
validate,others
MinValue,others
MaxValue,others
DefaultValue,others
ThrowIfInvalid,others
OutlierValue,others
getRuntime,accessor
getWriteMaxConcurrentRequestCount,accessor
isBlank,assertion
endsWith,others
getConfiguration,accessor
assumeTrue,others
replaceFirst,others
setTestUrl,accessor
getAuthority,accessor
setFileSystemName,accessor
getTestUrl,accessor
setContext,accessor
tag,others
getHost,accessor
iostatisticsStore,assertion
withCounters,others
getStatName,accessor
createCounter,builder
withDurationTracking,others
build,builder
getRegistry,accessor
lookupMetric,others
newCounter,others
getStatDescription,accessor
lookupCounter,others
incr,others
snapshot,others
counters,others
trackDuration,others
checkNotNull,others
bind,others
getCanonicalServiceName,accessor
getDelegationToken,accessor
getKind,accessor
setKind,accessor
renewDelegationToken,others
cancelDelegationToken,others
getScheme,accessor
isSecurityEnabled,assertion
getServiceName,accessor
create,builder
addToken,others
getService,accessor
addConfResource,others
generateUniqueTestPath,others
getVersion,accessor
isTraceEnabled,assertion
getRequestProperty,accessor
getHeaderField,accessor
getClientRequestId,accessor
getMaskedUrl,accessor
getMaskedEncodedUrl,accessor
encodedUrlStr,others
openConnection,others
setSSLSocketFactory,accessor
setConnectTimeout,accessor
setReadTimeout,accessor
setRequestMethod,accessor
setRequestProperty,accessor
setDoOutput,accessor
setFixedLengthStreamingMode,accessor
nanoTime,others
getOutputStream,accessor
write,others
elapsedTimeMs,others
getResponseCode,accessor
getResponseMessage,accessor
dumpHeadersToDebugLog,others
getHeaderFields,accessor
processStorageErrorResponse,others
getHeaderFieldLong,accessor
getInputStream,accessor
isNullInputStream,assertion
parseListFilesResponse,assertion
read,others
warn,others
getErrorStream,accessor
createJsonParser,builder
nextToken,others
hasCurrentToken,others
getCurrentToken,accessor
getCurrentName,accessor
getText,accessor
readValue,others
error,others
getReadBufferSize,accessor
getReadAheadQueueDepth,accessor
isTolerateOobAppends,assertion
getReadAheadRange,accessor
shouldReadBufferSizeAlways,others
isBufferedPreadDisabled,assertion
getSasTokenRenewPeriodForStreamsInSeconds,accessor
getStreamStatistics,accessor
createInputStreamId,builder
setOperation,accessor
setStreamID,accessor
getReadAheadBlockSize,accessor
setReadBufferManagerConfigs,accessor
getIOStatistics,accessor
right,others
validatePositionedReadArgs,others
readOperationStarted,others
readRemote,others
incrementBytesRead,others
bytesRead,others
incrementReadOps,others
seekInBuffer,others
shouldReadFully,others
readFileCompletely,others
shouldReadLastBlock,others
readLastBlock,others
readOneBlock,others
readSmallFilesCompletely,others
optimizeFooterRead,others
readInternal,others
copyToUserBuffer,others
savePointerState,others
optimisedRead,assertion
restorePointerState,others
available,others
arraycopy,others
bytesReadFromBuffer,others
setPrimaryRequestID,accessor
getBufferManager,accessor
readAheadBytesRead,others
remoteReadOperation,others
update,others
getSasToken,accessor
registerResult,assertion
remoteBytesRead,others
seek,others
getPos,accessor
toLowerCase,others
setListener,accessor
hashCode,others
getCounterReference,accessor
seekForwards,others
seekBackwards,others
meanStatistics,assertion
join,others
retryUpToMaximumCountWithFixedSleep,others
acquireLease,others
isDone,assertion
shouldRetry,others
cancel,others
releaseLease,others
emptyIterator,others
fetchBatchesAsync,others
hasNext,others
getNextIterator,accessor
next,others
poll,others
isFailedListing,assertion
getListingException,accessor
getFileStatusIterator,accessor
runAsync,others
asyncOp,others
addNextBatchIteratorToQueue,others
listStatus,assertion
getPath,accessor
iterator,others
getClient,accessor
getStatistics,accessor
isEnableFlush,assertion
isDisableOutputStreamFlush,assertion
isEnableSmallWriteOptimization,assertion
getWriteBufferSize,accessor
getMaxWriteRequestsToQueue,accessor
getLease,accessor
getExecutorService,accessor
createOutputStreamId,builder
getTracingContext,accessor
getBlockFactory,accessor
createBlockIfNeeded,builder
isProbeForSyncable,assertion
validateWriteArgs,others
maybeThrowLastError,others
hasLease,others
isLeaseFreed,assertion
remainingCapacity,others
uploadCurrentBlock,others
incrementWriteOps,others
checkState,others
hasActiveBlock,others
uploadBlockAsync,others
getActiveBlock,accessor
clearActiveBlock,others
writeAppendBlobCurrentBufferToService,others
hasData,others
dataSize,others
bytesToUpload,others
writeCurrentBuffer,others
startUpload,others
toByteArray,others
registerSuccess,assertion
uploadSuccessful,others
close,others
shrinkWriteOperationQueue,others
flushInternalAsync,others
flushInternal,others
wrapException,others
free,others
clear,others
hasActiveBlockDataToUpload,others
smallWriteOptimizedflushInternal,others
flushWrittenBytesToService,others
waitForAppendsToComplete,others
flushWrittenBytesToServiceAsync,others
uploadFailed,others
failureWhileSubmit,others
getCause,accessor
flushWrittenBytesToServiceInternal,others
flush,others
peek,others
queueShrunk,others
isFreed,assertion
getLeaseID,accessor
getLatencyInstant,accessor
trackInfo,others
finishTracking,assertion
shouldTrackLatency,others
getLocalHost,accessor
isValidInstant,assertion
getAggregateStart,accessor
getAggregateCount,accessor
recordClientLatency,others
getTrackingStart,accessor
getTrackingEnd,accessor
getCallerName,accessor
getCalleeName,accessor
getSuccess,accessor
between,others
getLogString,accessor
offerToQueue,others
offer,others
getUserAction,accessor
getGroupAction,accessor
getOtherAction,accessor
getStickyBit,accessor
toShort,others
getAbfsHttpOperationWithFixedResult,accessor
trackDurationOfInvocation,others
getStatNameFromHttpCall,accessor
completeExecute,others
executeHttpOperation,others
setRetryCount,accessor
getRetryPolicy,accessor
getStorageErrorCode,accessor
getStorageErrorMessage,accessor
constructHeader,others
getAccessToken,accessor
setMaskForSAS,accessor
getSharedKeyCredentials,accessor
sendingRequest,others
sendRequest,others
processResponse,others
getBytesReceived,accessor
updateMetrics,others
getAzureServiceCode,accessor
formatMessage,others
getHttpErrorCode,accessor
getMethod,accessor
getStatusDescription,accessor
values,others
getHttpCall,accessor
createTestAccount,builder
createCloudBlobClient,builder
listContainers,assertion
info,others
getUri,accessor
deleteIfExists,assertion
__,others
getClusterId,accessor
getState,accessor
getHAState,accessor
getHAZookeeperConnectionState,accessor
getRMStateStore,accessor
getStartedOn,accessor
getRMBuildVersion,accessor
getRMVersionBuiltOn,accessor
getHadoopBuildVersion,accessor
getHadoopVersionBuiltOn,accessor
commonPreHead,others
addResource,others
getFileSystemName,accessor
getIsNamespaceEnabled,accessor
getTestTracingContext,accessor
getAbfsStore,accessor
getClientCorrelationId,accessor
getFileSystemId,accessor
getTracingHeaderFormat,accessor
createFileSystem,builder
abfsUrlToWasbUrl,others
isHttpsAlwaysUsed,assertion
getAccountKey,accessor
closeStream,others
name,others
deleteFilesystem,others
intercept,others
getFilesystemProperties,accessor
getRawAuthority,accessor
assertPathExists,assertion
getMethodName,accessor
writeDataset,accessor
touch,others
convertTestUrls,others
replace,others
setClient,accessor
getTestPath,accessor
getUniquePath,accessor
getAbfsConfiguration,accessor
createFile,builder
getFsStatistics,accessor
getDefault,accessor
getUMask,accessor
getConf,accessor
assertEquals,assertion
setup,accessor
getOperationCount,accessor
assumeScaleTestsEnabled,others
getTestTimeoutMillis,accessor
open,others
getAMRMPolicyWeights,accessor
getSymbol,accessor
createIOStatisticsStoreForAuditing,builder
builder,builder
createAndStartAuditManager,builder
createConfig,builder
stopQuietly,others
assertThat,assertion
activeSpan,others
isValidSpan,assertion
getActiveAuditSpan,accessor
beforeExecution,others
newGetObjectMetadataRequest,accessor
verifyCounter,others
assertThatStatisticCounter,assertion
createSpan,builder
requireNonNull,others
deactivate,others
setEntitlement,accessor
getMinimumAbsoluteResource,accessor
getParent,accessor
getMaximumAbsoluteResource,accessor
checkConfigTypeIsAbsoluteResource,assertion
lock,others
getCapacity,accessor
setCapacity,accessor
setAbsoluteCapacity,accessor
getQueueCapacities,accessor
setMaxCapacity,accessor
getMaxCapacity,accessor
getQueuePath,accessor
updateQueueStatistics,assertion
getClusterResource,accessor
unlock,others
setUp,accessor
createConfiguration,builder
init,others
loadFilesystemName,others
setEnabled,accessor
isEnabled,assertion
getFilesystemConfKey,accessor
getOption,accessor
getConfKey,accessor
createNameTag,builder
createVersionTag,builder
createDescriptionTag,builder
getType,accessor
getSrcFile,accessor
getProperties,accessor
getFileStatus,accessor
isDirectory,assertion
exists,assertion
getDestFile,accessor
isAbsolute,assertion
getNameCount,accessor
validateConfigFile,others
setConf,accessor
setupUser,accessor
equalsIgnoreCase,others
getCurrentUser,accessor
createProxyUser,builder
parseTopologyTree,accessor
toArray,others
nextInt,others
buildMachineNodeMap,builder
getLevel,accessor
buildRackNodeMap,builder
getClusterTopology,accessor
addAll,others
getMachinesInRack,accessor
getChildren,accessor
addFirst,others
unmodifiableSortedSet,accessor
useInconsistentClient,assertion
path,others
getTestBucketName,accessor
removeBucketOverrides,others
setLong,accessor
setInt,accessor
