Method_Name,Method_Type
next,others
back,others
syntaxError,others
append,others
toString,builder
nextTo,others
getValue,accessor
length,others
put,others
rowToJSONArray,others
toJSONObject,others
opt,others
indexOf,others
charAt,others
toJSONArray,others
rowToJSONObject,others
optJSONObject,others
names,others
rowToString,others
fail,others
assertEquals,assertion
getMessage,accessor
assertTrue,assertion
contains,others
println,others
assertNull,assertion
getJSONObject,accessor
compareActualVsExpectedJsonArrays,others
trim,others
forDigit,others
unescape,others
equals,others
more,others
equalsIgnoreCase,others
keySet,accessor
getString,accessor
escape,others
dehexchar,others
isEmpty,assertion
defaultConfiguration,others
size,others
read,others
query,others
has,others
compareActualVsExpectedJsonObjects,others
valueOf,others
setMyEnum,accessor
setMyEnumField,accessor
getNames,accessor
accumulate,others
remove,others
of,others
putOnce,others
get,accessor
valueToString,others
startsWith,others
putOpt,others
wrap,others
getEnum,accessor
getMyEnum,accessor
optEnum,others
compareTo,others
signum,others
negate,others
divide,others
multiply,others
doubleValue,others
getClass,accessor
floatValue,others
hashCode,others
intValue,others
longValue,others
getGenericValue,accessor
nextToken,others
toUpperCase,others
optString,others
replaceAll,others
isWhitespace,assertion
nextClean,others
add,others
nextValue,others
addAll,others
iterator,others
wrongValueFormatException,others
parseDouble,others
parseFloat,others
stringToNumber,others
quote,others
getSimpleName,accessor
objectToBigDecimal,others
objectToBigInteger,others
parseInt,others
parseLong,others
clear,others
optBoolean,others
getBoolean,accessor
optDouble,others
optNumber,others
optFloat,others
optInt,others
isAssignableFrom,assertion
optLong,others
testValidity,others
set,accessor
ensureCapacity,others
queryFrom,others
optQuery,others
similar,others
isNumberSimilar,assertion
getBuffer,accessor
write,others
writeValue,others
indent,others
toList,assertion
toMap,others
getLength,accessor
assertFalse,assertion
singleton,others
putAll,others
getInt,accessor
asList,assertion
singletonMap,others
getDouble,accessor
getFloat,accessor
getJSONArray,accessor
getLong,accessor
isNull,assertion
join,others
isNaN,assertion
optJSONArray,others
optBigInteger,others
optBigDecimal,others
hasNext,others
close,others
containsKey,others
assertNotNull,assertion
nextContent,others
skipPast,others
nextCDATA,others
nextMeta,others
stringToValue,others
parse,others
noSpace,others
assertNotEquals,assertion
compile,others
entrySet,accessor
getKey,accessor
populateMap,others
getField,accessor
getBundle,accessor
currentThread,others
getKeys,accessor
hasMoreElements,others
nextElement,others
split,others
isInfinite,assertion
endsWith,others
substring,others
getFields,accessor
getName,accessor
booleanValue,others
numberIsFinite,assertion
toBigInteger,others
isDecimalNotation,assertion
getClassLoader,accessor
getMethods,accessor
getDeclaredMethods,accessor
getModifiers,accessor
isPublic,assertion
isStatic,assertion
getParameterTypes,accessor
isBridge,assertion
getReturnType,accessor
isValidMethodName,assertion
getKeyNameFromMethod,accessor
invoke,others
getAnnotationDepth,accessor
getAnnotation,accessor
value,others
isLowerCase,assertion
toLowerCase,others
isUpperCase,assertion
isAnnotationPresent,assertion
getDeclaringClass,accessor
getSuperclass,accessor
getInterfaces,accessor
getMethod,accessor
toHexString,others
bitLength,others
toJSONString,others
numberToString,others
matcher,others
name,others
setDefault,accessor
nanoTime,others
mock,others
when,others
getDoubleKey,accessor
getIntKey,accessor
getStringKey,accessor
getEscapeStringKey,accessor
isTrueKey,assertion
isFalseKey,assertion
getStringReaderKey,accessor
getDefault,accessor
doubleToString,others
compare,others
getBigInteger,accessor
getBigDecimal,accessor
increment,others
getInstance,accessor
emptySet,accessor
emptyMap,others
emptyList,assertion
decode,others
replace,others
readByIndexToken,others
format,others
encode,others
builder,builder
toURIFragment,others
build,builder
object,others
key,others
array,others
endArray,others
endObject,others
singletonList,assertion
markSupported,others
decrementIndexes,others
mark,others
reset,accessor
incrementIndexes,others
end,others
nextString,others
checkValid,others
checkError,others
skipTo,others
push,others
pop,others
getNumber,accessor
propertyNames,others
getProperty,accessor
toProperties,others
compareActualVsExpectedObjects,others
keys,others
codePointAt,others
charCount,others
codePointIterator,others
mustEscape,others
appendCodePoint,others
isISOControl,assertion
unescapeEntity,others
getcDataTagName,accessor
isConvertNilAttributeToNull,assertion
parseBoolean,others
getXsiTypeMap,accessor
isKeepStrings,assertion
convert,others
withcDataTagName,others
compareStringToJSONObject,others
compareReaderToJSONObject,others
compareFileToJSONObject,others
withKeepStrings,others
newFile,others
unmodifiableMap,others
clone,others
withXsiTypeMap,others
setLength,accessor
nextEntity,others
isLetterOrDigit,assertion
